('3:35\n', '1\n')
('3:34\n', '1\n')
('3:33\n', '1\n')
('3:32\n', '1\n')
('3:31\n', '1\n')
('3:31\n', '1\n')
('1:06\n', '1\n')
('1:05\n', '1\n')
('1:04\n', '1\n')
('1:03\n', '1\n')
('1:02\n', '1\n')
('1:01\n', '1\n')
('1:00\n', '1\n')
('10:30\n', '2\n')
('10:29\n', '2\n')
('10:28\n', '2\n')
('10:27\n', '2\n')
('10:26\n', '2\n')
('10:25\n', '2\n')
('10:24\n', '2\n')
('110:23\n', '2\n')
('110:22\n', '2\n')
('7:02\n', '2\n')
('7:01\n', '2\n')
('7:00\n', '2\n')
('6:59\n', '2\n')
('6:58\n', '2\n')
('6:57\n', '2\n')
('5:51\n', '2\n')
('5:50\n', '2\n')
('5:49\n', '2\n')
('5:48\n', '2\n')
('5:48\n', '2\n')
('5:47\n', '2\n')
('3:4\n', '2\n')
('3:03\n', '2\n')
('3:.02\n', '2\n')
('3:.01\n', '2\n')
('3:00\n', '2\n')
('2:59\n', '2\n')
('2:58\n', '2\n')
(':33.4\n', '2\n')
(':32.4\n', '2\n')
(':31.5\n', '2\n')
(':30.5\n', '2\n')
(':29.7\n', '2\n')
(':29.7\n', '2\n')
('29.7\n', '2\n')
(':29.7\n', '2\n')
('8:48\n', '3\n')
('8:47\n', '3\n')
('8:46\n', '3\n')
('8:45\n', '3\n')
('8:44\n', '3\n')
('8:43\n', '3\n')
('8:42\n', '3\n')
('3:19\n', '3\n')
('3:18\n', '3\n')
('3:17\n', '3\n')
('3:16\n', '3\n')
('3:15\n', '3\n')
('3:14\n', '3\n')
('3:13\n', '3\n')
('3:12\n', '3\n')
('3:11\n', '3\n')
('2:50\n', '3\n')
('2:49\n', '3\n')
('2:48\n', '3\n')
('2:47\n', '3\n')
('2:46\n', '3\n')
('2:45\n', '3\n')
('2:44\n', '3\n')
('11:28\n', '4\n')
('11:27\n', '4\n')
('11:26\n', '4\n')
('11:25\n', '4\n')
('11:24\n', '4\n')
('11:23\n', '4\n')
('15:22\n', '4\n')
('10:48\n', '4\n')
('10:47\n', '4\n')
('10:46\n', '4\n')
('10:45\n', '4\n')
('10:44\n', '4\n')
('10:43\n', '4\n')
('6:32\n', '4\n')
('6:31\n', '4\n')
('6:30\n', '4\n')
('6:29\n', '4\n')
('6:28\n', '4\n')
('6:27\n', '4\n')
('6:26\n', '4\n')
('6:26\n', '4\n')
('6:26\n', '4\n')
('6:26\n', '4\n')
('2:43\n', '4\n')
('2:42\n', '4\n')
('2:42\n', '4\n')
('2:41\n', '4\n')
('2:40\n', '4\n')
('2:39\n', '4\n')
('2:38\n', '4\n')
('2:37\n', '4\n')
('54.0\n', '4\n')
('53.0\n', '4\n')
('52.1\n', '4\n')
('51.1\n', '4\n')
('50.1\n', '4\n')
(':49.1\n', '4\n')
('48.9\n', '4\n')
('48.9\n', '4\n')
('48.9\n', '4\n')
('08.6\n', '4\n')
('07.6\n', '4\n')
('06.6\n', '4\n')
(':05.6\n', '4\n')
(':04.6\n', '4\n')
(':03.7\n', '4\n')
(':02.7\n', '4\n')
