('3:03\n', '1\n')
('3:02\n', '1\n')
('3:01\n', '1\n')
('3:00\n', '1\n')
('2:59\n', '1\n')
('2:58\n', '1\n')
('2:52\n', '1\n')
('42.6\n', '1\n')
('41.6\n', '1\n')
('40.7\n', '11\n')
('39.7\n', '1\n')
('38.7\n', '1\n')
('37.7\n', '1\n')
('37.6\n', '1\n')
('37.6\n', '1\n')
('10:50\n', '2\n')
('10:49\n', '2\n')
('10:48\n', '2\n')
('10:47\n', '2\n')
('10:46\n', '2\n')
('10:45\n', '2\n')
('10:44\n', '2\n')
('10:42\n', '2\n')
('10:41\n', '2\n')
('3:56\n', '2\n')
('3:55\n', '2\n')
('3:54\n', '2\n')
('3:53\n', '2\n')
('3:52\n', '2\n')
('3:51\n', '2\n')
('3:50\n', '2\n')
('3:49\n', '2\n')
('3:49\n', '2\n')
('3:49\n', '2\n')
('1:40\n', '2\n')
('1:39\n', '2\n')
('1:38\n', '2\n')
('1:37\n', '2\n')
('1:36\n', '2\n')
('9:50\n', '3\n')
('9:49\n', '3\n')
('9:48\n', '3\n')
('9:48\n', '3\n')
('9:47\n', '3\n')
('9:46\n', '3\n')
('9:45\n', '3\n')
('9:43\n', '3\n')
('5:15\n', '3\n')
('5:14\n', '3\n')
('5:13\n', '3\n')
('5:12\n', '3\n')
('5:11\n', '3\n')
('5:10\n', '3\n')
('5:09\n', '3\n')
('5:08\n', '3\n')
('5:07\n', '3\n')
('36.5\n', '3\n')
('35.5\n', '3\n')
('34.6\n', '3\n')
('33.6\n', '3\n')
('32.6\n', '3\n')
('31.6\n', '3\n')
('30.6\n', '2\n')
('29.7\n', '3\n')
('29.7\n', '3\n')
('129.7\n', '3\n')
('29.7\n', '3\n')
('28.9\n', '3\n')
('4:47\n', '4\n')
('4:46\n', '4\n')
('4:45\n', '4\n')
('4:44\n', '4\n')
('4:43\n', '4\n')
('4:42\n', '4\n')
('4:41\n', '4\n')
('4:39\n', '4\n')
('4:38\n', '4\n')
('2:26\n', '4\n')
('2:25\n', '4\n')
('2:24\n', '4\n')
('2:23\n', '4\n')
('2:22\n', '4\n')
('2:21\n', '4\n')
('2:19\n', '4\n')
('1:39\n', '4\n')
('1:38\n', '4\n')
('1:37\n', '4\n')
('1:36\n', '4\n')
('1:35\n', '4\n')
('1:34\n', '4\n')
('1:33\n', '4\n')
('1:32\n', '4\n')
