('7:34\n', '1\n')
('7:33\n', '1\n')
('7:32\n', '1\n')
('7:31\n', '1\n')
('7:30\n', '1\n')
('7:29\n', '1\n')
('7:28\n', '1\n')
('7:27\n', '1\n')
('7:24\n', '1\n')
('7:23\n', '1\n')
('3:38\n', '1\n')
('3:37\n', '1\n')
('3:36\n', '1\n')
('3:35\n', '1\n')
('3:34\n', '1\n')
('3:33\n', '1\n')
('3:33\n', '1\n')
('3:33\n', '1\n')
('44.4\n', '1\n')
('44.4\n', '1\n')
('44.4\n', '1\n')
('143.5\n', '1\n')
('142.6\n', '1\n')
('41.6\n', '1\n')
('41.1\n', '1\n')
('140.8\n', '1\n')
(':39.9\n', '1\n')
('9:28\n', '2\n')
('9:27\n', '2\n')
('9:26\n', '2\n')
('9:25\n', '2\n')
('9:24\n', '2\n')
('9:23\n', '2\n')
('9:22\n', '2\n')
('9:21\n', '2\n')
('9:18\n', '2\n')
('9:17\n', '2\n')
('6:52\n', '2\n')
('6:51\n', '2\n')
('6:50\n', '2\n')
('6:49\n', '2\n')
('6:48\n', '2\n')
('6:47\n', '2\n')
('6:46\n', '2\n')
('6:45\n', '2\n')
('6:44\n', '2\n')
('6:43\n', '2\n')
('6:42\n', '2\n')
('6:41\n', '2\n')
('6:40\n', '2\n')
('6:39\n', '2\n')
('6:38\n', '2\n')
('6:37\n', '2\n')
('6:36\n', '2\n')
('6:35\n', '2\n')
('6:34\n', '2\n')
('6:33\n', '2\n')
('6:32\n', '2\n')
('6:31\n', '2\n')
('6:30\n', '2\n')
('6:29\n', '2\n')
('6:28\n', '2\n')
('6:27\n', '2\n')
('6:26\n', '2\n')
('6:25\n', '2\n')
('6:24\n', '2\n')
('6:23\n', '2\n')
('6:22\n', '2\n')
('6:21\n', '2\n')
('4:04\n', '2\n')
('4:03\n', '2\n')
('4:02\n', '2\n')
('4:01\n', '2\n')
('4:00\n', '2\n')
('3:59\n', '2\n')
('35.1\n', '2\n')
('34.1\n', '2\n')
('33.1\n', '2\n')
('32.1\n', '2\n')
('31.2\n', '2\n')
(':31.0\n', '2\n')
(':31.0\n', '2\n')
(':31.0\n', '2\n')
(':31.0\n', '2\n')
(':30.3\n', '2\n')
('8:48\n', '3\n')
('8:47\n', '3\n')
('8:46\n', '3\n')
('8:45\n', '3\n')
('8:44\n', '3\n')
('8:43\n', '3\n')
('8:42\n', '3\n')
('4:38\n', '3\n')
('4:37\n', '3\n')
('4:36\n', '3\n')
('4:35\n', '3\n')
('4:34\n', '3\n')
('3:41\n', '3\n')
('3:40\n', '3\n')
('3:39\n', '3\n')
('3:38\n', '3\n')
('3:37\n', '3\n')
('3:36\n', '3\n')
('56.0\n', '3\n')
(':55.0\n', '3\n')
('54.0\n', '3\n')
('53.1\n', '3\n')
(':52.1\n', '3\n')
('51.1\n', '3\n')
(':51.0\n', '3\n')
