('10:05\n', '1\n')
('10:04\n', '1\n')
('10:03\n', '1\n')
('10:02\n', '1\n')
('10:01\n', '1\n')
('10:00\n', '1\n')
('9:31\n', '2\n')
('9:30\n', '2\n')
('9:29\n', '2\n')
('9:28\n', '2\n')
('9:27\n', '2\n')
('9:26\n', '2\n')
('9:25\n', '2\n')
('9:24\n', '2\n')
('6:49\n', '2\n')
('6:48\n', '2\n')
('6:47\n', '2\n')
('6:46\n', '2\n')
('6:46\n', '2\n')
('6:46\n', '2\n')
('6:46\n', '2\n')
('6:46\n', '2\n')
('4:41\n', '2\n')
('4:40\n', '2\n')
('4:39\n', '2\n')
('4:38\n', '2\n')
('4:37\n', '2\n')
('4:36\n', '2\n')
('4:35\n', '2\n')
('4:34\n', '2\n')
('4:33\n', '2\n')
('4:32\n', '2\n')
('1:36\n', '2\n')
('1:34\n', '2\n')
('379\n', '3\n')
('36.9\n', '3\n')
('359\n', '3\n')
('354\n', '3\n')
('354\n', '3\n')
('4:25\n', '4\n')
('4:24\n', '4\n')
('4:23\n', '4\n')
('4:22\n', '4\n')
('4:21\n', '4\n')
('4:21\n', '4\n')
('4:21\n', '4\n')
('4:21\n', '4\n')
('4:21\n', '4\n')
('2:55\n', '4\n')
('2:53\n', '4\n')
('2:52\n', '4\n')
('2:50\n', '4\n')
('2:49\n', '4\n')
('2:48\n', '4\n')
('2:47\n', '4\n')
('2:46\n', '4\n')
('2:45\n', '4\n')
('1:53\n', '4\n')
('1:52\n', '4\n')
('1:51\n', '4\n')
('1:50\n', '4\n')
('1:49\n', '4\n')
('1:48\n', '4\n')
('1:47\n', '4\n')
('1:47\n', '4\n')
('113\n', '4\n')
('112\n', '4\n')
('111\n', '4\n')
('110\n', '4\n')
('1:09\n', '4\n')
('1:09\n', '4\n')
('1:09\n', '4\n')
('1:09\n', '4\n')
('1:08\n', '4\n')
