('6:43\n', '1\n')
('6:42\n', '1\n')
('6:41\n', '1\n')
('6:40\n', '1\n')
('6:39\n', '1\n')
('6:38\n', '1\n')
('6:37\n', '1\n')
('6:35\n', '1\n')
('6:34\n', '1\n')
('4:42\n', '1\n')
('4:41\n', '1\n')
('4:40\n', '1\n')
('4:39\n', '1\n')
('4:38\n', '1\n')
('4:37\n', '1\n')
('4:36\n', '1\n')
('1:50\n', '1\n')
('1:49\n', '1\n')
('1:48\n', '1\n')
('1:47\n', '1\n')
('1:46\n', '1\n')
('1:45\n', '1\n')
('1:43\n', '1\n')
('1:42\n', '1\n')
('11:00\n', '2\n')
('10:59\n', '2\n')
('10:58\n', '2\n')
('10:57\n', '2\n')
('10:56\n', '2\n')
('5:43\n', '2\n')
('5:42\n', '2\n')
('5:41\n', '2\n')
('5:40\n', '2\n')
('5:39\n', '2\n')
('5:38\n', '2\n')
('5:37\n', '2\n')
(':57.6\n', '2\n')
(':56.6\n', '2\n')
(':55.6\n', '2\n')
(':54.6\n', '2\n')
('154.2\n', '2\n')
(':53.8\n', '2\n')
(':52.8\n', '2\n')
('8:35\n', '3\n')
('8:34\n', '3\n')
('8:33\n', '3\n')
('8:32\n', '3\n')
('8:31\n', '3\n')
('8:30\n', '3\n')
('8:29\n', '3\n')
('8:28\n', '3\n')
('8:25\n', '3\n')
('8:24\n', '3\n')
('7:02\n', '3\n')
('7:01\n', '3\n')
('7:00\n', '3\n')
('6:57\n', '3\n')
('4:48\n', '3\n')
('4:47\n', '3\n')
('4:46\n', '3\n')
('4:45\n', '3\n')
('4:44\n', '3\n')
('4:41\n', '3\n')
('4:40\n', '3\n')
('3:26\n', '3\n')
('3:26\n', '3\n')
('3:26\n', '3\n')
('5:09\n', '4\n')
('5:08\n', '4\n')
('5:07\n', '4\n')
('5:06\n', '4\n')
('5:05\n', '4\n')
('2:39\n', '4\n')
('2:38\n', '4\n')
('2:37\n', '4\n')
('2:36\n', '41\n')
('2:35\n', '4\n')
('2:34\n', '4\n')
('52.1\n', '41\n')
('51.1\n', '4\n')
(':50.1\n', '4\n')
('149.1\n', '4\n')
('148.1\n', '4\n')
('47.1\n', '4\n')
('46.5\n', '4\n')
('146.5\n', '4\n')
(':46.5\n', '4\n')
(':46.5\n', '4\n')
(':04\n', '41\n')
(':03\n', '41\n')
(':02\n', '41\n')
(':01\n', '41\n')
(':00\n', '41\n')
(':00\n', '41\n')
(':00\n', '41\n')
('3:51\n', '1\n')
('3:50\n', '1\n')
('3:48\n', '1\n')
('3:47\n', '1\n')
(':49.6\n', '1\n')
