('8:05\n', '1\n')
('8:04\n', '1\n')
('8:03\n', '1\n')
('8:02\n', '1\n')
('4:43\n', '1\n')
('4:42\n', '1\n')
('4:41\n', '1\n')
('4:40\n', '1\n')
('4:39\n', '1\n')
('4:38\n', '1\n')
('4:37\n', '1\n')
('4:36\n', '1\n')
(':38.3\n', '1\n')
(':37.3\n', '1\n')
(':36.4\n', '1\n')
(':35.4\n', '1\n')
(':34.8\n', '1\n')
(':34.8\n', '1\n')
(':34.8\n', '1\n')
('8:53\n', '2\n')
('8:52\n', '2\n')
('8:51\n', '2\n')
('8:50\n', '2\n')
('8:49\n', '2\n')
('8:48\n', '2\n')
('44\n', '44\n')
('44\n', '4\n')
('7:18\n', '2\n')
('1:17\n', '2\n')
('5:22\n', '2\n')
('5:21\n', '2\n')
('5:20\n', '2\n')
('5:19\n', '2\n')
('5:18\n', '2\n')
('5:17\n', '2\n')
('5:16\n', '2\n')
('5:15\n', '2\n')
('5:12\n', '2\n')
('5:11\n', '2\n')
('2:27\n', '2\n')
('2:26\n', '2\n')
('2:25\n', '2\n')
('2:24\n', '2\n')
('2:23\n', '2\n')
('2:22\n', '2\n')
('2:27\n', '2\n')
('2:19\n', '2\n')
('10:56\n', '3\n')
('10:55\n', '3\n')
('10:54\n', '3\n')
('10:53\n', '3\n')
('10:52\n', '3\n')
('10:51\n', '3\n')
('10:50\n', '3\n')
('10:49\n', '3\n')
('9:24\n', '3\n')
('9:23\n', '3\n')
('9:22\n', '3\n')
('9:21\n', '3\n')
('9:20\n', '3\n')
('9:19\n', '3\n')
('9:19\n', '3\n')
('5:48\n', '3\n')
('5:47\n', '3\n')
('5:46\n', '3\n')
('5:45\n', '3\n')
('5:44\n', '3\n')
('5:43\n', '3\n')
('5:42\n', '3\n')
('3:43\n', '3\n')
('3:42\n', '3\n')
('3:41\n', '3\n')
('3:40\n', '3\n')
('3:39\n', '3\n')
('3:38\n', '3\n')
(':58.5\n', '3\n')
(':571.5\n', '3\n')
(':55.6\n', '3\n')
(':54.6\n', '3\n')
(':53.6\n', '3\n')
(':52.6\n', '3\n')
('11:09\n', '4\n')
('11:08\n', '4\n')
('11:07\n', '4\n')
('11:06\n', '4\n')
('11:05\n', '4\n')
('11:04\n', '4\n')
('11:04\n', '4\n')
('11:04\n', '4\n')
('9:11\n', '4\n')
('9:10\n', '4\n')
('9:07\n', '4\n')
('9:05\n', '4\n')
('9:04\n', '4\n')
('6:57\n', '4\n')
('6:56\n', '4\n')
('6:55\n', '4\n')
('6:54\n', '4\n')
('6:53\n', '4\n')
('6:52\n', '4\n')
('6:52\n', '4\n')
('6:52\n', '4\n')
('3:12\n', '4\n')
('3:11\n', '4\n')
('3:10\n', '4\n')
('3:09\n', '4\n')
('3:08\n', '4\n')
('3:07\n', '4\n')
('2:08\n', '4\n')
('2:07\n', '4\n')
('2:06\n', '4\n')
('2:06\n', '4\n')
('2:05\n', '4\n')
('47.8\n', '4\n')
('47.8\n', '4\n')
('47.8\n', '4\n')
('47.8\n', '4\n')
(':41.8\n', '4\n')
