('7:38\n', '1\n')
('71:37\n', '1\n')
('7:36\n', '1\n')
('7:35\n', '1\n')
('7:34\n', '1\n')
('7:33\n', '1\n')
('7:32\n', '1\n')
('7:31\n', '1\n')
('7:30\n', '1\n')
('7:28\n', '1\n')
('1:27\n', '1\n')
('6:26\n', '1\n')
('6:25\n', '1\n')
('6:24\n', '1\n')
('6:23\n', '1\n')
('6:22\n', '1\n')
('6:21\n', '1\n')
('6:20\n', '1\n')
('4:18\n', '1\n')
('4:17\n', '1\n')
('4:16\n', '1\n')
('4:15\n', '1\n')
('4:14\n', '1\n')
('8:10\n', '2\n')
('8:07\n', '2\n')
('8:05\n', '2\n')
('5:01\n', '2\n')
('5:00\n', '2\n')
('4:59\n', '2\n')
('4:58\n', '2\n')
('4:57\n', '2\n')
('4:57\n', '2\n')
('4:56\n', '2\n')
('3:30\n', '2\n')
('3:29\n', '2\n')
('3:28\n', '2\n')
('3:27\n', '2\n')
('3:26\n', '2\n')
('3:25\n', '2\n')
('3:24\n', '2\n')
('3:23\n', '2\n')
('3:22\n', '2\n')
('1:34\n', '2\n')
('1:33\n', '2\n')
('1:32\n', '2\n')
('1:31\n', '2\n')
('1:30\n', '2\n')
('1:29\n', '2\n')
(':34.8\n', '2\n')
(':33.8\n', '2\n')
(':32.8\n', '2\n')
(':31.8\n', '2\n')
(':30.8\n', '2\n')
(':29.8\n', '2\n')
(':29.8\n', '2\n')
(':29.8\n', '2\n')
('9:58\n', '3\n')
('9:57\n', '3\n')
('9:56\n', '3\n')
('9:55\n', '3\n')
('9:54\n', '3\n')
('9:53\n', '3\n')
('9:52\n', '3\n')
('9:51\n', '3\n')
('8:40\n', '3\n')
('8:39\n', '3\n')
('8:38\n', '3\n')
('8:37\n', '3\n')
('8:36\n', '3\n')
('8:35\n', '3\n')
('8:34\n', '3\n')
('8:34\n', '3\n')
('7:36\n', '3\n')
('7:35\n', '3\n')
('7:34\n', '3\n')
('7:33\n', '3\n')
('7:32\n', '3\n')
('7:32\n', '3\n')
('7:32\n', '3\n')
('7:32\n', '3\n')
(':39.8\n', '3\n')
(':38.8\n', '3\n')
(':37.8\n', '3\n')
(':36.9\n', '3\n')
(':35.9\n', '3\n')
(':35.6\n', '3\n')
(':35.5\n', '3\n')
(':35.0\n', '3\n')
(':34.5\n', '3\n')
(':34.0\n', '3\n')
