('9:51\n', '11\n')
('9:49\n', '11\n')
('9:48\n', '11\n')
('9:47\n', '1\n')
('9:46\n', '1\n')
('9:45\n', '11\n')
('9:44\n', '11\n')
('9:43\n', '1\n')
('9:42\n', '1\n')
('4:50\n', '1\n')
('4:49\n', '11\n')
('4:48\n', '11\n')
('4:47\n', '11\n')
('4:46\n', '11\n')
('4:45\n', '11\n')
('4:44\n', '1\n')
('4:43\n', '1\n')
('4:43\n', '11\n')
('9:05\n', '2\n')
('9:04\n', '2\n')
('9:03\n', '2\n')
('9:02\n', '2\n')
('9:01\n', '2\n')
('8:59\n', '2\n')
('8:57\n', '2\n')
('8:56\n', '2\n')
('7:02\n', '2\n')
('7:01\n', '2\n')
('7:00\n', '2\n')
('6:59\n', '2\n')
('6:58\n', '2\n')
('6:57\n', '2\n')
('6:56\n', '2\n')
('6:55\n', '2\n')
('6:54\n', '2\n')
('6:53\n', '2\n')
('4:26\n', '2\n')
('4:25\n', '2\n')
('4:24\n', '2\n')
('4:23\n', '2\n')
('4:22\n', '2\n')
('4:21\n', '2\n')
('11:35\n', '3\n')
('11:34\n', '3\n')
('11:33\n', '3\n')
('11:32\n', '3\n')
('11:31\n', '3\n')
('11:30\n', '3\n')
('11:30\n', '3\n')
('11:30\n', '3\n')
('11:30\n', '3\n')
('11:30\n', '3\n')
('10:02\n', '3\n')
('10:01\n', '3\n')
('10:00\n', '3\n')
('9:59\n', '3\n')
('9:57\n', '3\n')
('9:56\n', '3\n')
('9:55\n', '3\n')
('9:54\n', '3\n')
('9:53\n', '3\n')
('8:57\n', '3\n')
('8:56\n', '3\n')
('8:55\n', '3\n')
('8:54\n', '3\n')
('8:53\n', '3\n')
('8:52\n', '3\n')
('8:51\n', '3\n')
('8:50\n', '3\n')
('8:49\n', '3\n')
('8:43\n', '3\n')
('8:42\n', '3\n')
('4:44\n', '3\n')
('4:43\n', '3\n')
('4:42\n', '3\n')
('4:41\n', '3\n')
('4:40\n', '3\n')
('4:39\n', '3\n')
('4:38\n', '3\n')
('4:37\n', '3\n')
('4:36\n', '3\n')
('4:35\n', '3\n')
('4:34\n', '3\n')
('11:\n', '41\n')
('11:\n', '41\n')
('111:\n', '41\n')
