('6:55\n', '1\n')
('6:54\n', '1\n')
('6:53\n', '1\n')
('6:52\n', '1\n')
('6:51\n', '1\n')
('6:50\n', '1\n')
('6:49\n', '1\n')
('6:48\n', '1\n')
('6:47\n', '1\n')
('6:20\n', '1\n')
('6:19\n', '1\n')
('6:18\n', '1\n')
('6:17\n', '1\n')
('6:16\n', '1\n')
('6:15\n', '1\n')
('6:14\n', '1\n')
('2:24\n', '1\n')
('2:23\n', '1\n')
('2:22\n', '1\n')
('2:21\n', '1\n')
('2:20\n', '1\n')
('2:19\n', '1\n')
('2:18\n', '1\n')
('11:22\n', '2\n')
('11:21\n', '2\n')
('11:2\n', '2\n')
('11:16\n', '2\n')
('11:18\n', '2\n')
('7:55\n', '2\n')
('71:54\n', '2\n')
('7:53\n', '2\n')
('7:52\n', '2\n')
('71:51\n', '2\n')
('3:35\n', '2\n')
('3:34\n', '2\n')
('3:33\n', '2\n')
('3:32\n', '2\n')
('3:31\n', '2\n')
('3:30\n', '2\n')
('3:29\n', '2\n')
('1:08\n', '2\n')
('1:07\n', '2\n')
('1:06\n', '2\n')
('1:05\n', '2\n')
('1:04\n', '2\n')
('1:03\n', '2\n')
('1:02\n', '2\n')
('1:01\n', '2\n')
('1:00\n', '2\n')
('9:26\n', '3\n')
('9:25\n', '3\n')
('9:24\n', '3\n')
('9:23\n', '3\n')
('9:22\n', '3\n')
('9:21\n', '3\n')
('9:20\n', '3\n')
('1:51\n', '3\n')
('1:50\n', '3\n')
('1:49\n', '3\n')
('1:48\n', '3\n')
('1:47\n', '3\n')
('8:44\n', '4\n')
('8:43\n', '4\n')
('8:42\n', '4\n')
('8:41\n', '4\n')
('8:40\n', '4\n')
('8:36\n', '4\n')
('8:35\n', '4\n')
('71:07\n', '4\n')
('7:06\n', '4\n')
('7:05\n', '4\n')
('7:04\n', '4\n')
('7:03\n', '4\n')
('7:02\n', '4\n')
('6:58\n', '4\n')
('6:57\n', '4\n')
('4:49\n', '4\n')
('4:48\n', '4\n')
('4:47\n', '4\n')
('4:47\n', '4\n')
('4:47\n', '4\n')
('4:47\n', '4\n')
