('7:26\n', '1\n')
('1:26\n', '1\n')
('1:25\n', '1\n')
('71:24\n', '1\n')
('1:23\n', '1\n')
('1:22\n', '1\n')
('1:21\n', '1\n')
('5:51\n', '1\n')
('5:50\n', '1\n')
('5:49\n', '1\n')
('5:49\n', '1\n')
('5:49\n', '1\n')
('5:49\n', '1\n')
('5:49\n', '1\n')
('5:49\n', '1\n')
('2:27\n', '1\n')
('2:26\n', '1\n')
('2:25\n', '1\n')
('2:24\n', '1\n')
('2:23\n', '1\n')
('2:22\n', '1\n')
('2:21\n', '1\n')
('2:20\n', '1\n')
('9:54\n', '2\n')
('9:53\n', '2\n')
('9:52\n', '2\n')
('9:52\n', '2\n')
('9:52\n', '2\n')
('9:52\n', '2\n')
('9:52\n', '2\n')
('9:52\n', '2\n')
('9:52\n', '2\n')
('8:22\n', '2\n')
('8:21\n', '2\n')
('8:20\n', '2\n')
('8:19\n', '2\n')
('8:18\n', '2\n')
('8:17\n', '2\n')
('8:16\n', '2\n')
('8:15\n', '2\n')
('7:08\n', '2\n')
('1:07\n', '2\n')
('71:06\n', '2\n')
('71:05\n', '2\n')
('7:04\n', '2\n')
('7:03\n', '2\n')
('3:10\n', '2\n')
('3:09\n', '2\n')
('3:08\n', '2\n')
('3:07\n', '2\n')
('3:06\n', '2\n')
('3:05\n', '2\n')
('3:04\n', '2\n')
('3:03\n', '2\n')
('1:59\n', '3\n')
('7:58\n', '3\n')
('1:57\n', '3\n')
('7:56\n', '3\n')
('1:55\n', '3\n')
('71:54\n', '3\n')
('5:51\n', '3\n')
('5:50\n', '3\n')
('5:49\n', '3\n')
('5:48\n', '3\n')
('5:47\n', '3\n')
('5:46\n', '3\n')
('5:45\n', '3\n')
('5:44\n', '3\n')
('5:29\n', '3\n')
('5:28\n', '3\n')
('5:27\n', '3\n')
('5:26\n', '3\n')
('5:25\n', '3\n')
('5:25\n', '3\n')
('5:25\n', '3\n')
('5:25\n', '3\n')
('5:25\n', '3\n')
('5:25\n', '3\n')
('11:20\n', '4\n')
('11:19\n', '4\n')
('11:18\n', '4\n')
('11:17\n', '4\n')
('11:16\n', '4\n')
('11:15\n', '4\n')
('11:14\n', '4\n')
('11:13\n', '4\n')
('11:12\n', '4\n')
('6:20\n', '4\n')
('6:19\n', '4\n')
('6:18\n', '4\n')
('6:17\n', '4\n')
('6:16\n', '4\n')
('6:15\n', '4\n')
('6:10\n', '4\n')
('3:27\n', '4\n')
('3:26\n', '4\n')
('3:25\n', '4\n')
('3:24\n', '4\n')
('3:23\n', '4\n')
('1:34\n', '4\n')
('1:33\n', '4\n')
('1:32\n', '4\n')
('1:31\n', '4\n')
('1:30\n', '4\n')
('1:30\n', '4\n')
('57.5\n', '4\n')
(':56.5\n', '4\n')
(':55.5\n', '4\n')
('54.5\n', '4\n')
(':53.7\n', '4\n')
(':53.7\n', '4\n')
(':53.7\n', '4\n')
('52.6\n', '4\n')
('51.6\n', '4\n')
(':50.6\n', '4\n')
('49.6\n', '4\n')
('48.7\n', '4\n')
('48.0\n', '4\n')
('48.0\n', '4\n')
('48.0\n', '4\n')
('48.0\n', '4\n')
(':05\n', '41\n')
(':04\n', '41\n')
(':03\n', '41\n')
(':02\n', '41\n')
(':01\n', '4\n')
(':01\n', '41\n')
(':01\n', '41\n')
(':00\n', '41\n')
(':00\n', '41\n')
(':00\n', '4\n')
(':00\n', '4\n')
