('11:05\n', '1\n')
('11:04\n', '1\n')
('11:03\n', '1\n')
('11:02\n', '1\n')
('11:01\n', '1\n')
('7:45\n', '1\n')
('7:44\n', '1\n')
('7:43\n', '1\n')
('7:42\n', '1\n')
('7:41\n', '1\n')
('2:17\n', '1\n')
('7:16\n', '1\n')
('2:15\n', '1\n')
('7:14\n', '1\n')
('2:13\n', '1\n')
('8:00\n', '1\n')
('5:59\n', '1\n')
('5:58\n', '1\n')
('5:57\n', '1\n')
('5:56\n', '1\n')
('5:55\n', '1\n')
('2:08\n', '1\n')
('2:07\n', '1\n')
('2:06\n', '1\n')
('2:05\n', '1\n')
('2:09\n', '1\n')
('2:03\n', '1\n')
('9:12\n', '2\n')
('9:11\n', '2\n')
('9:10\n', '2\n')
('9:09\n', '2\n')
('9:08\n', '2\n')
('9:07\n', '2\n')
('9:06\n', '2\n')
('9:05\n', '2\n')
('9:04\n', '2\n')
('9:03\n', '2\n')
('9:02\n', '2\n')
('9:01\n', '2\n')
('9:00\n', '2\n')
('8:00\n', '2\n')
('9:00\n', '2\n')
('4:49\n', '2\n')
('4:48\n', '2\n')
('4:47\n', '2\n')
('4:46\n', '2\n')
('4:45\n', '2\n')
('4:44\n', '2\n')
('4:43\n', '2\n')
('4:42\n', '2\n')
('2:33\n', '2\n')
('2:32\n', '2\n')
('2:31\n', '2\n')
('2:31\n', '2\n')
('2:30\n', '2\n')
('11:39\n', '3\n')
('11:38\n', '3\n')
('11:37\n', '3\n')
('11:36\n', '3\n')
('11:35\n', '3\n')
('11:34\n', '3\n')
('8:37\n', '3\n')
('8:36\n', '3\n')
('8:35\n', '3\n')
('8:34\n', '3\n')
('8:33\n', '3\n')
('8:32\n', '3\n')
('4:21\n', '3\n')
('4:20\n', '3\n')
('4:19\n', '3\n')
('4:18\n', '3\n')
('44:17\n', '3\n')
('4:16\n', '3\n')
('3:01\n', '3\n')
('3:00\n', '3\n')
('2:59\n', '3\n')
('2:58\n', '3\n')
('2:57\n', '3\n')
('2:56\n', '3\n')
('2:55\n', '3\n')
('2:54\n', '3\n')
('10:26\n', '4\n')
('10:25\n', '4\n')
('10:24\n', '4\n')
('10:24\n', '4\n')
('10:23\n', '4\n')
('10:22\n', '4\n')
