('6:18\n', '11\n')
('6:17\n', '1\n')
('6:16\n', '1\n')
('6:15\n', '1\n')
('6:14\n', '1\n')
('6:13\n', '1\n')
('6:12\n', '1\n')
(':57.8\n', '11\n')
(':56.9\n', '1\n')
(':55.9\n', '1\n')
('54.9\n', '1\n')
('53.9\n', '1\n')
('52.9\n', '1\n')
('51.9\n', '1\n')
('51.7\n', '1\n')
('51.7\n', '1\n')
('6:07\n', '2\n')
('6:05\n', '2\n')
('6:04\n', '2\n')
('6:03\n', '2\n')
('6:02\n', '2\n')
('9:26\n', '3\n')
('9:25\n', '3\n')
('9:24\n', '3\n')
('9:23\n', '3\n')
('9:22\n', '3\n')
('9:21\n', '3\n')
('4:50\n', '3\n')
('4:49\n', '3\n')
('4:48\n', '3\n')
('4:47\n', '3\n')
('4:46\n', '3\n')
('4:45\n', '3\n')
('4:44\n', '3\n')
('4:43\n', '3\n')
('4:42\n', '3\n')
('4:40\n', '3\n')
('1:40\n', '3\n')
('1:39\n', '3\n')
('1:38\n', '3\n')
('1:37\n', '3\n')
('1:36\n', '3\n')
('1:35\n', '3\n')
('1:34\n', '3\n')
(':33.5\n', '3\n')
(':32.5\n', '3\n')
(':31.5\n', '3\n')
(':31.4\n', '3\n')
(':31.4\n', '3\n')
('9:55\n', '4\n')
('9:54\n', '4\n')
('9:53\n', '4\n')
('9:52\n', '4\n')
('9:51\n', '4\n')
('9:51\n', '4\n')
('6:35\n', '4\n')
('6:34\n', '4\n')
('6:33\n', '4\n')
('6:33\n', '4\n')
('6:32\n', '4\n')
('6:31\n', '4\n')
('4:54\n', '4\n')
('4:53\n', '4\n')
('4:52\n', '4\n')
('4:51\n', '4\n')
('4:51\n', '4\n')
('4:51\n', '4\n')
('4:51\n', '4\n')
('3:59\n', '4\n')
('3:58\n', '4\n')
('3:57\n', '4\n')
('3:56\n', '4\n')
('3:55\n', '4\n')
('3:54\n', '4\n')
('3:53\n', '4\n')
(':00\n', '4\n')
(':00\n', '4\n')
