('4\n', '44\n')
('1:02\n', '1\n')
('1:01\n', '1\n')
('1:00\n', '1\n')
('1:00\n', '1\n')
('59.0\n', '1\n')
('58.2\n', '1\n')
('58.2\n', '1\n')
('56.9\n', '1\n')
(':55.9\n', '1\n')
('9:04\n', '2\n')
('9:03\n', '2\n')
('9:02\n', '2\n')
('9:01\n', '2\n')
('4:05\n', '2\n')
('4:04\n', '2\n')
('4:03\n', '2\n')
('4:02\n', '2\n')
('4:01\n', '2\n')
('3:58\n', '2\n')
('3:57\n', '2\n')
('2:47\n', '2\n')
('2:46\n', '2\n')
('2:45\n', '2\n')
('2:44\n', '2\n')
('2:43\n', '2\n')
('2:42\n', '2\n')
('2:39\n', '2\n')
('2:38\n', '2\n')
('1:41\n', '2\n')
('1:40\n', '2\n')
('1:39\n', '2\n')
('1:38\n', '2\n')
('1:37\n', '2\n')
('1:36\n', '2\n')
('1:35\n', '2\n')
('1:31\n', '2\n')
('1:30\n', '2\n')
('46.4\n', '2\n')
(':45.4\n', '2\n')
('44.4\n', '2\n')
('43.4\n', '2\n')
(':42.4\n', '2\n')
('42.0\n', '2\n')
('40.1\n', '2\n')
(':39.2\n', '2\n')
('6:42\n', '3\n')
('6:41\n', '3\n')
('6:36\n', '3\n')
('6:35\n', '3\n')
('2:05\n', '3\n')
('2:04\n', '3\n')
('2:03\n', '3\n')
('2:02\n', '3\n')
('2:01\n', '3\n')
('2:00\n', '3\n')
('1:45\n', '3\n')
('1:44\n', '3\n')
('1:43\n', '3\n')
('1:42\n', '3\n')
('1:41\n', '3\n')
('1:40\n', '3\n')
('1:35\n', '3\n')
('1:34\n', '3\n')
('9:37\n', '4\n')
('9:36\n', '4\n')
('9:35\n', '4\n')
('9:34\n', '4\n')
('9:33\n', '4\n')
('9:32\n', '4\n')
('9:28\n', '4\n')
('9:27\n', '4\n')
('7:31\n', '4\n')
('7:30\n', '4\n')
('7:29\n', '4\n')
('7:28\n', '4\n')
('1:27\n', '4\n')
('7:26\n', '4\n')
('7:20\n', '4\n')
('7:19\n', '4\n')
('2:25\n', '4\n')
('2:24\n', '4\n')
('2:23\n', '4\n')
('2:22\n', '4\n')
('2:21\n', '4\n')
('2:20\n', '4\n')
('1:13\n', '4\n')
('1:12\n', '4\n')
('1:11\n', '4\n')
('1:11\n', '4\n')
('1:10\n', '4\n')
('42.8\n', '4\n')
('41.8\n', '4\n')
('40.9\n', '4\n')
(':39.9\n', '4\n')
(':38.9\n', '4\n')
(':38.0\n', '4\n')
('23.1\n', '4\n')
('23.1\n', '4\n')
('122.6\n', '4\n')
('21.7\n', '4\n')
('20.7\n', '4\n')
('19.7\n', '4\n')
('18.7\n', '4\n')
(':18.\n', '41\n')
(':18.\n', '41\n')
(':07\n', '41\n')
(':07\n', '41\n')
(':06\n', '41\n')
(':05\n', '41\n')
(':04\n', '41\n')
(':03\n', '41\n')
(':02\n', '41\n')
(':01.\n', '41\n')
(':00\n', '41\n')
(':00\n', '4\n')
(':00\n', '41\n')
