('6:55\n', '1\n')
('6:54\n', '1\n')
('6:53\n', '1\n')
('6:52\n', '1\n')
('6:51\n', '1\n')
('6:48\n', '1\n')
('6:47\n', '1\n')
('4:25\n', '1\n')
('4:24\n', '1\n')
('4:23\n', '1\n')
('4:22\n', '1\n')
('4:21\n', '1\n')
('4:21\n', '1\n')
('4:21\n', '1\n')
('1:18\n', '1\n')
('1:17\n', '1\n')
('1:16\n', '1\n')
('1:16\n', '1\n')
('1:16\n', '1\n')
('1:16\n', '1\n')
('1:16\n', '1\n')
('8:18\n', '2\n')
('8:17\n', '2\n')
('8:16\n', '2\n')
('8:15\n', '2\n')
('8:14\n', '2\n')
('8:13\n', '2\n')
('8:01\n', '2\n')
('5:58\n', '2\n')
('5:57\n', '2\n')
('5:56\n', '2\n')
('5:55\n', '2\n')
('5:54\n', '2\n')
('5:53\n', '2\n')
('5:53\n', '2\n')
('5:53\n', '2\n')
('2:36\n', '2\n')
('2:35\n', '2\n')
('2:34\n', '2\n')
('2:33\n', '2\n')
('2:32\n', '2\n')
('2:31\n', '2\n')
('2:30\n', '2\n')
('9:45\n', '3\n')
('9:44\n', '3\n')
('9:43\n', '3\n')
('9:42\n', '3\n')
('9:41\n', '3\n')
('9:40\n', '3\n')
('9:39\n', '3\n')
('9:07\n', '3\n')
('9:05\n', '3\n')
('9:04\n', '3\n')
('9:03\n', '3\n')
('9:02\n', '3\n')
('9:01\n', '3\n')
('8:59\n', '3\n')
('8:16\n', '3\n')
('8:15\n', '3\n')
('8:14\n', '3\n')
('8:13\n', '3\n')
('8:12\n', '3\n')
('8:11\n', '3\n')
('8:10\n', '3\n')
('8:06\n', '3\n')
('8:05\n', '3\n')
('5:26\n', '3\n')
('5:25\n', '3\n')
('5:24\n', '3\n')
('5:23\n', '3\n')
('5:22\n', '3\n')
('5:22\n', '3\n')
('5:22\n', '3\n')
('5:22\n', '3\n')
('5:22\n', '3\n')
('21.6\n', '3\n')
(':20.6\n', '3\n')
(':19.7\n', '3\n')
(':18.7\n', '3\n')
('17.7\n', '3\n')
(':16.7\n', '3\n')
(':16.5\n', '3\n')
('0:16.\n', '3\n')
('0:16.\n', '3\n')
('10:17\n', '4\n')
('10:16\n', '4\n')
('10:15\n', '4\n')
('10:14\n', '4\n')
('10:13\n', '4\n')
('10:12\n', '4\n')
('10:11\n', '4\n')
('10:11\n', '4\n')
('6:01\n', '4\n')
('5:59\n', '4\n')
('5:58\n', '4\n')
('5:57\n', '4\n')
('5:56\n', '4\n')
('5:55\n', '4\n')
('5:54\n', '4\n')
('4:12\n', '4\n')
('4:11\n', '4\n')
('4:10\n', '4\n')
('4:09\n', '4\n')
('4:08\n', '4\n')
('4:08\n', '4\n')
('4:08\n', '4\n')
('4:08\n', '4\n')
('4:08\n', '4\n')
('4:08\n', '4\n')
