('9:18\n', '1\n')
('9:17\n', '11\n')
('9:16\n', '1\n')
('9:15\n', '1\n')
('9:14\n', '1\n')
('9:13\n', '1\n')
('9:12\n', '11\n')
('2:28\n', '1\n')
('2:27\n', '1\n')
('2:26\n', '1\n')
('2:25\n', '1\n')
('2:24\n', '1\n')
('2:23\n', '11\n')
('2:22\n', '11\n')
('2:20\n', '11\n')
('2:19\n', '1\n')
('7:00\n', '2\n')
('6:59\n', '2\n')
('6:58\n', '2\n')
('6:57\n', '2\n')
('6:56\n', '2\n')
('6:55\n', '2\n')
('2:11\n', '2\n')
('2:10\n', '2\n')
('2:09\n', '2\n')
('2:08\n', '2\n')
('2:07\n', '2\n')
('2:06\n', '2\n')
(':05\n', '2\n')
(':04\n', '2\n')
('0:03\n', '2\n')
(':02\n', '2\n')
(':01\n', '2\n')
(':00\n', '2\n')
(':00\n', '2\n')
(':00\n', '2\n')
('9:15\n', '3\n')
('9:14\n', '3\n')
('9:13\n', '3\n')
('9:12\n', '3\n')
('9:11\n', '3\n')
('9:10\n', '3\n')
('9:09\n', '3\n')
('3:40\n', '3\n')
('3:39\n', '3\n')
('3:38\n', '3\n')
('3:37\n', '3\n')
('3:36\n', '3\n')
('3:35\n', '3\n')
('2:05\n', '3\n')
('2:04\n', '3\n')
('2:03\n', '3\n')
('2:02\n', '3\n')
('2:01\n', '3\n')
('2:00\n', '3\n')
('1:59\n', '3\n')
('1:58\n', '3\n')
('9:25\n', '4\n')
('9:24\n', '4\n')
('9:23\n', '4\n')
('9:22\n', '4\n')
('9:21\n', '4\n')
('9:20\n', '4\n')
('6:04\n', '4\n')
('6:03\n', '4\n')
('6:02\n', '4\n')
('6:01\n', '4\n')
('5:59\n', '4\n')
(':35.0\n', '4\n')
(':34.0\n', '4\n')
('33.1\n', '4\n')
('32.1\n', '4\n')
('31.1\n', '4\n')
(':30.8\n', '4\n')
