('5:51\n', '1\n')
('5:50\n', '1\n')
('5:49\n', '1\n')
('5:48\n', '1\n')
('5:47\n', '1\n')
('5:43\n', '1\n')
('5:42\n', '1\n')
('4:23\n', '1\n')
('4:22\n', '1\n')
('4:21\n', '1\n')
('4:20\n', '1\n')
('4:19\n', '1\n')
('3:36\n', '1\n')
('3:35\n', '1\n')
('3:34\n', '1\n')
('3:33\n', '1\n')
('3:32\n', '1\n')
('3:31\n', '1\n')
('3:30\n', '1\n')
('3:29\n', '1\n')
('3:24\n', '1\n')
('3:23\n', '1\n')
('2:49\n', '1\n')
('2:48\n', '1\n')
('2:47\n', '1\n')
('2:46\n', '1\n')
('2:45\n', '1\n')
('2:44\n', '1\n')
('2:41\n', '11\n')
('2:40\n', '1\n')
('7:20\n', '2\n')
('7:19\n', '2\n')
('7:18\n', '2\n')
('1:17\n', '2\n')
('7:16\n', '2\n')
('7:15\n', '2\n')
('7:14\n', '2\n')
('7:13\n', '2\n')
('7:13\n', '2\n')
('7:13\n', '2\n')
('6:07\n', '2\n')
('6:05\n', '2\n')
('6:04\n', '2\n')
('6:03\n', '2\n')
('6:03\n', '2\n')
('6:03\n', '2\n')
('6:03\n', '2\n')
(':34.6\n', '2\n')
(':33.6\n', '2\n')
(':32.6\n', '2\n')
(':31.6\n', '2\n')
('30.7\n', '2\n')
(':30.3\n', '2\n')
('10:37\n', '3\n')
('10:36\n', '3\n')
('10:35\n', '3\n')
('10:34\n', '3\n')
('10:33\n', '3\n')
('10:22\n', '3\n')
('10:22\n', '3\n')
('8:07\n', '3\n')
('8:05\n', '3\n')
('8:04\n', '3\n')
('8:03\n', '3\n')
('8:03\n', '3\n')
('7:54\n', '3\n')
('7:53\n', '3\n')
('7:52\n', '3\n')
('7:51\n', '3\n')
('7:50\n', '3\n')
('7:49\n', '3\n')
('7:48\n', '3\n')
('7:45\n', '3\n')
('7:44\n', '3\n')
('10:49\n', '4\n')
('10:48\n', '4\n')
('10:47\n', '4\n')
('10:46\n', '4\n')
('10:45\n', '4\n')
('10:44\n', '4\n')
('10:40\n', '4\n')
('8:38\n', '4\n')
('8:37\n', '4\n')
('8:36\n', '4\n')
('8:35\n', '4\n')
('8:34\n', '4\n')
('8:33\n', '4\n')
('8:32\n', '4\n')
('6:15\n', '4\n')
('6:14\n', '4\n')
('6:13\n', '4\n')
('6:12\n', '4\n')
('6:11\n', '4\n')
('6:10\n', '4\n')
