('6:29\n', '3\n')
('6:28\n', '3\n')
('6:27\n', '3\n')
('6:26\n', '3\n')
('6:25\n', '3\n')
('6:24\n', '3\n')
('6:24\n', '3\n')
('6:24\n', '3\n')
('3:38\n', '3\n')
('3:37\n', '3\n')
('3:36\n', '3\n')
('3:35\n', '3\n')
('3:34\n', '3\n')
('3:33\n', '3\n')
('3:32\n', '3\n')
('3:31\n', '3\n')
('10:21\n', '4\n')
('10:20\n', '4\n')
('10:18\n', '4\n')
('10:14\n', '4\n')
('9:35\n', '4\n')
('9:34\n', '4\n')
('9:33\n', '4\n')
('9:32\n', '4\n')
('9:31\n', '4\n')
('9:30\n', '4\n')
('9:29\n', '4\n')
('9:28\n', '4\n')
('9:27\n', '4\n')
('9:27\n', '4\n')
('9:27\n', '4\n')
('9:27\n', '4\n')
('9:27\n', '4\n')
('9:27\n', '4\n')
('9:27\n', '4\n')
('9:27\n', '4\n')
('9:27\n', '4\n')
('9:27\n', '4\n')
('4:17\n', '4\n')
('4:16\n', '4\n')
('4:15\n', '4\n')
('4:14\n', '4\n')
('4:13\n', '4\n')
('4:12\n', '4\n')
('4:11\n', '4\n')
('2:42\n', '41\n')
('2:41\n', '4\n')
('2:40\n', '4\n')
('2:39\n', '4\n')
('2:38\n', '4\n')
(':49.4\n', '4\n')
(':48.4\n', '41\n')
(':47.4\n', '4\n')
(':46.4\n', '4\n')
(':45.4\n', '4\n')
(':44.5\n', '4\n')
(':44.0\n', '4\n')
(':05\n', '41\n')
(':04\n', '41\n')
(':03\n', '41\n')
(':02\n', '41\n')
(':02\n', '41\n')
(':02\n', '41\n')
(':02\n', '41\n')
(':02\n', '41\n')
(':01\n', '41\n')
(':00\n', '41\n')
(':00\n', '41\n')
(':00\n', '4\n')
(':00\n', '41\n')
('3:03\n', '1\n')
('2:59\n', '14\n')
(':39.5\n', '14\n')
(':38.5\n', '1\n')
('37.5\n', '14\n')
(':35.6\n', '14\n')
(':33.9\n', '1\n')
