('..\n', 'A\n')
('7:01\n', 'FIRST QUARTER\n')
('7:00\n', 'FIRST QUARTER\n')
('6:59\n', 'FIRST QUARTER\n')
('6:58\n', 'FIRST QUARTER\n')
('6:57\n', 'FIRST QUARTER\n')
('6:56\n', 'FIRST QUARTER\n')
('6:55\n', 'FIRST QUARTER\n')
('3:17\n', 'FIRST QUARTER\n')
('3:16\n', 'FIRST QUARTER\n')
('3:15\n', 'FIRST QUARTER\n')
('3:14\n', 'FIRST QUARTER\n')
('3:13\n', 'FIRST QUARTER\n')
('3:12\n', 'FIRST QUARTER\n')
('3:06\n', 'FIRST QUARTER\n')
('3:05\n', 'FIRST QUARTER\n')
('36.7\n', 'FIRST QUARTER\n')
('35.7\n', 'FIRST QUARTER\n')
('34.7\n', 'FIRST QUARTER\n')
('33.7\n', 'FIRST QUARTER\n')
('32.8\n', 'FIRST QUARTER\n')
('32.8\n', 'FIRST QUARTER\n')
('32.8\n', 'FIRST QUARTER\n')
('10:16\n', 'SECOND QUARTER\n')
('10:15\n', 'SECOND QUARTER\n')
('10:14\n', 'SECOND QUARTER\n')
('10:13\n', 'SECOND QUARTER\n')
('10:12\n', 'SECOND QUARTER\n')
('10:11\n', 'SECOND QUARTER\n')
('10:10\n', 'SECOND QUARTER\n')
('9:23\n', 'SECOND QUARTER\n')
('9:22\n', 'SECOND QUARTER\n')
('9:21\n', 'SECOND QUARTER\n')
('9:20\n', 'SECOND QUARTER\n')
('9:19\n', 'SECOND QUARTER\n')
('9:18\n', 'SECOND QUARTER\n')
('9:18\n', 'SECOND QUARTER\n')
('.\n', 'TT\n')
('5:19\n', 'SECOND QUARTER\n')
('5:18\n', 'SECOND QUARTER\n')
('5:17\n', 'SECOND QUARTER\n')
('5:16\n', 'SECOND QUARTER\n')
('5:15\n', 'SECOND QUARTER\n')
('5:14\n', 'SECOND QUARTER\n')
('10:05\n', 'THIRD QUARTER\n')
('10:04\n', 'THIRD QUARTER\n')
('10:03\n', 'THIRD QUARTER\n')
('10:02\n', 'THIRD QUARTER\n')
('10:01\n', 'THIRD QUARTER\n')
('10:00\n', 'THIRD QUARTER\n')
('7:39\n', 'THIRD QUARTER\n')
('7:38\n', 'THIRD QUARTER\n')
('7:37\n', 'THIRD QUARTER\n')
('7:36\n', 'THIRD QUARTER\n')
('7:35\n', 'THIRD QUARTER\n')
('7:34\n', 'THIRD QUARTER\n')
('7:33\n', 'THIRD QUARTER\n')
('.\n', 'F\n')
('7:16\n', 'THIRD QUARTER\n')
('7:15\n', 'THIRD QUARTER\n')
('7:14\n', 'THIRD QUARTER\n')
('7:13\n', 'THIRD QUARTER\n')
('7:12\n', 'THIRD QUARTER\n')
('7:11\n', 'THIRD QUARTER\n')
('7:10\n', 'THIRD QUARTER\n')
('5:55\n', 'THIRD QUARTER\n')
('5:54\n', 'THIRD QUARTER\n')
('5:53\n', 'THIRD QUARTER\n')
('5:52\n', 'THIRD QUARTER\n')
('5:51\n', 'THIRD QUARTER\n')
('5:50\n', 'THIRD QUARTER\n')
('5:49\n', 'THIRD QUARTER\n')
('5:46\n', 'THIRD QUARTER\n')
('5:45\n', 'THIRD QUARTER\n')
('3:36\n', 'THIRD QUARTER\n')
('3:35\n', 'THIRD QUARTER\n')
('3:34\n', 'THIRD QUARTER\n')
('3:34\n', 'THIRD QUARTER\n')
('3:33\n', 'THIRD QUARTER\n')
('3:32\n', 'THIRD QUARTER\n')
('8:23\n', 'FOURTH QUARTER\n')
('8:22\n', 'FOURTH QUARTER\n')
('8:21\n', 'FOURTH QUARTER\n')
('8:20\n', 'FOURTH QUARTER\n')
('8:19\n', 'FOURTH QUARTER\n')
('8:18\n', 'FOURTH QUARTER\n')
('8:17\n', 'FOURTH QUARTER\n')
('6:54\n', 'FOURTH QUARTER\n')
('6:53\n', 'FOURTH QUARTER\n')
('6:52\n', 'FOURTH QUARTER\n')
('6:51\n', 'FOURTH QUARTER\n')
('6:50\n', 'FOURTH QUARTER\n')
('6:49\n', 'FOURTH QUARTER\n')
('6:48\n', 'FOURTH QUARTER\n')
('4.54\n', 'FOURTH QUARTER\n')
('4:53\n', 'FOURTH QUARTER\n')
('4:52\n', 'FOURTH QUARTER\n')
('4:51\n', 'FOURTH QUARTER\n')
('4:50\n', 'FOURTH QUARTER\n')
('4:49\n', 'FOURTH QUARTER\n')
('4.48\n', 'FOURTH QUARTER\n')
('4.47\n', 'FOURTH QUARTER\n')
('4:46\n', 'FOURTH QUARTER\n')
('3:17\n', 'FOURTH QUARTER\n')
('3:16\n', 'FOURTH QUARTER\n')
('3:15\n', 'FOURTH QUARTER\n')
('3:14\n', 'FOURTH QUARTER\n')
('3:14\n', 'FOURTH QUARTER\n')
('3:14\n', 'FOURTH QUARTER\n')
