('10:37\n', '2\n')
('10:36\n', '2\n')
('10:35\n', '2\n')
('10:34\n', '2\n')
('10:33\n', '2\n')
('1:13\n', '3\n')
('1:12\n', '3\n')
('1:11\n', '3\n')
('1:10\n', '3\n')
('1:09\n', '3\n')
('1:08\n', '3\n')
('1:02\n', '3\n')
('1:04\n', '3\n')
('1:01\n', '3\n')
('1:00\n', '3\n')
('59.3\n', '3\n')
('58.3\n', '3\n')
('57.3\n', '3\n')
('56.4\n', '3\n')
('55.6\n', '3\n')
('3:51\n', '44\n')
('3:50\n', '41\n')
('3:49\n', '41\n')
('3:48\n', '41\n')
('3:47\n', '4\n')
('3:46\n', '4\n')
('3:46\n', '414\n')
('1:52\n', '4\n')
('1:51\n', '414\n')
('1:50\n', '414\n')
('1:49\n', '4\n')
('1:48\n', '4\n')
('1:48\n', '44\n')
('57.2\n', '41\n')
('56.2\n', '44\n')
('55.2\n', '41\n')
('54.3\n', '41\n')
('53.3\n', '41\n')
('53.3\n', '4\n')
('53.3\n', '41\n')
('05.9\n', '4\n')
('05.9\n', '41\n')
('05.4\n', '4\n')
('04.4\n', '41\n')
('03.4\n', '4\n')
('03.3\n', '41\n')
('03.3\n', '4\n')
('04.4\n', '44\n')
('04.4\n', '4\n')
('04.2\n', '4\n')
('03.2\n', '41\n')
('02.2\n', '4\n')
('01.2\n', '414\n')
('00.2\n', '41\n')
('00.0\n', '44\n')
('00.0\n', '41\n')
('1:07\n', '1\n')
('1:06\n', '1\n')
('1:05\n', '1\n')
('1:04\n', '1\n')
('1:03\n', '1\n')
('1:02\n', '1\n')
('1:00\n', '1\n')
('53.8\n', '1\n')
('52.8\n', '1\n')
('51.8\n', '1\n')
('50.8\n', '1\n')
('49.8\n', '1\n')
('48.8\n', '1\n')
('48.8\n', '1\n')
('48.8\n', '1\n')
('15.7\n', '1\n')
('14.7\n', '1\n')
('13.7\n', '1\n')
('12.7\n', '1\n')
('11.8\n', '1\n')
('11.8\n', '3\n')
('11.8\n', '1\n')
('11.8\n', '1\n')
('11.8\n', '1\n')
('11.8\n', '1\n')
('11.8\n', '1\n')
('11.8\n', '1\n')
('11.8\n', '1\n')
('07.2\n', '1\n')
('06.2\n', '1\n')
('05.2\n', '1\n')
('04.3\n', '1\n')
('03.3\n', '1\n')
('02.3\n', '1\n')
('01.3\n', '1\n')
('00.3\n', '1\n')
