('6:57\n', '1\n')
('6:56\n', '1\n')
('6:55\n', '1\n')
('6:54\n', '1\n')
('6:53\n', '1\n')
('6:53\n', '1\n')
('5:46\n', '1\n')
('5:45\n', '1\n')
('5:44\n', '1\n')
('5:43\n', '1\n')
('5:42\n', '1\n')
('5:41\n', '1\n')
('5:40\n', '1\n')
('5:39\n', '1\n')
('5:38\n', '1\n')
('2:38\n', '1\n')
('2:37\n', '1\n')
('2:36\n', '1\n')
('2:36\n', '1\n')
('2:35\n', '1\n')
('2:34\n', '1\n')
('2:33\n', '1\n')
(':40.1\n', '1\n')
(':39.1\n', '1\n')
(':38.1\n', '1\n')
(':37.1\n', '1\n')
(':36.1\n', '1\n')
(':35.3\n', '1\n')
(':35.3\n', '1\n')
(':35.2\n', '1\n')
('7:59\n', '2\n')
('7:58\n', '2\n')
('1:57\n', '2\n')
('7:56\n', '2\n')
('5:39\n', '2\n')
('5:38\n', '2\n')
('5:37\n', '2\n')
('5:36\n', '2\n')
('5:35\n', '2\n')
('5:34\n', '2\n')
('5:33\n', '2\n')
('5:32\n', '2\n')
(':08.5\n', '2\n')
(':07.5\n', '2\n')
(':06.5\n', '2\n')
(':05.6\n', '2\n')
(':05.0\n', '2\n')
(':05.0\n', '2\n')
('10:58\n', '3\n')
('10:57\n', '3\n')
('10:56\n', '3\n')
('10:55\n', '3\n')
('8:27\n', '3\n')
('8:26\n', '3\n')
('8:25\n', '3\n')
('8:24\n', '3\n')
('8:23\n', '3\n')
('8:22\n', '3\n')
('8:21\n', '3\n')
('3:12\n', '3\n')
('3:11\n', '3\n')
('3:10\n', '3\n')
('3:09\n', '3\n')
('3:08\n', '3\n')
('3:07\n', '3\n')
('3:06\n', '3\n')
('3:05\n', '3\n')
('7:59\n', '4\n')
('7:58\n', '4\n')
('1:57\n', '4\n')
('7:56\n', '4\n')
('7:55\n', '4\n')
('5:18\n', '4\n')
('5:17\n', '4\n')
('5:16\n', '4\n')
('5:15\n', '4\n')
('5:14\n', '4\n')
('5:13\n', '4\n')
('5:12\n', '4\n')
('2:49\n', '4\n')
('2:48\n', '4\n')
('2:47\n', '4\n')
('2:46\n', '4\n')
('2:45\n', '4\n')
('2:44\n', '4\n')
('2:43\n', '4\n')
('2:42\n', '4\n')
('2:41\n', '4\n')
