('5:32\n', '1\n')
('5:30\n', '1\n')
('5:23\n', '1\n')
('4:14\n', '1\n')
('4:04\n', '1\n')
('10:46\n', '2\n')
('10:45\n', '2\n')
('10:44\n', '2\n')
('10:43\n', '2\n')
('10:42\n', '2\n')
('7:50\n', '2\n')
('7:49\n', '2\n')
('7:48\n', '2\n')
('7:47\n', '2\n')
('7:46\n', '2\n')
('7:45\n', '2\n')
('4:28\n', '2\n')
('4:27\n', '2\n')
('4:26\n', '2\n')
('4:25\n', '2\n')
('4:24\n', '2\n')
('4:23\n', '2\n')
('4:22\n', '2\n')
('4:21\n', '2\n')
('3:39\n', '2\n')
('3:38\n', '2\n')
('3:37\n', '2\n')
('33\n', '2\n')
('3:35\n', '2\n')
('3:34\n', '2\n')
('8:43\n', '3\n')
('8:42\n', '3\n')
('8:41\n', '3\n')
('8:40\n', '3\n')
('8:39\n', '3\n')
('8:39\n', '3\n')
('8:39\n', '3\n')
('8:39\n', '3\n')
('8:39\n', '3\n')
('8:39\n', '3\n')
('8:09\n', '3\n')
('8:08\n', '3\n')
('8:07\n', '3\n')
('8:06\n', '3\n')
('8:05\n', '3\n')
('8:04\n', '3\n')
('8:03\n', '3\n')
('7:04\n', '3\n')
('7:04\n', '3\n')
('7:03\n', '3\n')
('7:02\n', '3\n')
('7:01\n', '3\n')
('7:00\n', '3\n')
('6:59\n', '3\n')
('6:58\n', '3\n')
('6:18\n', '3\n')
('6:18\n', '3\n')
('6:17\n', '3\n')
('6:16\n', '3\n')
('6:15\n', '3\n')
('6:14\n', '3\n')
('44:47\n', '3\n')
('4:46\n', '3\n')
('4:45\n', '3\n')
('4:44\n', '3\n')
('4:43\n', '3\n')
('4:42\n', '3\n')
('4:41\n', '3\n')
('4:40\n', '3\n')
('2:13\n', '3\n')
('2:12\n', '3\n')
('2:11\n', '3\n')
('2:10\n', '3\n')
('2:10\n', '3\n')
('10:28\n', '4\n')
('10:28\n', '4\n')
('10:27\n', '4\n')
('10:26\n', '4\n')
('10:25\n', '4\n')
('10:25\n', '4\n')
