('8:35\n', '1\n')
('8:34\n', '1\n')
('8:33\n', '1\n')
('8:32\n', '1\n')
('8:31\n', '1\n')
('8:30\n', '1\n')
('8:29\n', '1\n')
('4:10\n', '1\n')
('4:09\n', '1\n')
('4:08\n', '1\n')
('4:07\n', '1\n')
('4:06\n', '1\n')
('4:05\n', '1\n')
('4:04\n', '1\n')
('4:03\n', '1\n')
('4:02\n', '1\n')
('4:01\n', '1\n')
('6:06\n', '2\n')
('6:05\n', '2\n')
('6:09\n', '2\n')
('6:03\n', '2\n')
('6:02\n', '2\n')
('6:01\n', '2\n')
('6:00\n', '2\n')
('5:59\n', '2\n')
('5:58\n', '2\n')
('5:57\n', '2\n')
('5:57\n', '2\n')
('3:59\n', '2\n')
('3:58\n', '2\n')
('3:57\n', '2\n')
('3:56\n', '2\n')
('3:55\n', '2\n')
('3:54\n', '2\n')
('3:53\n', '2\n')
('3:52\n', '2\n')
('3:52\n', '2\n')
('1:36\n', '2\n')
('1:35\n', '2\n')
('1:34\n', '2\n')
('1:33\n', '2\n')
('1:32\n', '2\n')
('1:31\n', '2\n')
('40.2\n', '2\n')
('39.2\n', '2\n')
('38.2\n', '2\n')
('37.2\n', '2\n')
('36.2\n', '2\n')
('35.3\n', '2\n')
('34.7\n', '2\n')
('34.7\n', '2\n')
('7:03\n', '3\n')
('7:02\n', '3\n')
('7:01\n', '3\n')
('7:00\n', '3\n')
('6:59\n', '3\n')
('6:58\n', '3\n')
('6:57\n', '3\n')
('6:57\n', '3\n')
('6:57\n', '3\n')
('3:45\n', '3\n')
('3:44\n', '3\n')
('3:43\n', '3\n')
('3:42\n', '3\n')
('3:41\n', '3\n')
('3:40\n', '3\n')
('3:39\n', '3\n')
('9:29\n', '4\n')
('9:28\n', '4\n')
('9:27\n', '4\n')
('9:26\n', '4\n')
('9:25\n', '4\n')
('9:29\n', '4\n')
('3:43\n', '4\n')
('3:42\n', '4\n')
('3:41\n', '4\n')
('3:40\n', '4\n')
('3:39\n', '4\n')
('3:38\n', '4\n')
('3:37\n', '4\n')
('3:36\n', '4\n')
('3:35\n', '4\n')
('1:45\n', '4\n')
('1:44\n', '4\n')
('1:43\n', '4\n')
('1:42\n', '4\n')
('1:41\n', '4\n')
('1:41\n', '4\n')
('1:41\n', '4\n')
('1:41\n', '4\n')
('4.9\n', '4\n')
('4.4\n', '4\n')
('3.49\n', '4\n')
('2.9\n', '4\n')
('1.9\n', '4\n')
('0.49\n', '4\n')
