('11:25\n', '1\n')
('11:24\n', '1\n')
('11:23\n', '1\n')
('11:22\n', '1\n')
('11:21\n', '1\n')
('11:20\n', '1\n')
('11:17\n', '1\n')
('11:16\n', '1\n')
('10:11\n', '1\n')
('10:10\n', '1\n')
('10:08\n', '11\n')
('10:07\n', '1\n')
('10:06\n', '1\n')
('10:06\n', '1\n')
('10:06\n', '1\n')
('3:39\n', '1\n')
('3:38\n', '1\n')
('3:37\n', '1\n')
('3:36\n', '11\n')
('3:35\n', '1\n')
('3:34\n', '1\n')
('37.7\n', '1\n')
(':36.7\n', '1\n')
(':35.7\n', '1\n')
(':34.8\n', '1\n')
(':33.8\n', '1\n')
(':32.8\n', '1\n')
('132.2\n', '1\n')
('31.8\n', '1\n')
('6:54\n', '2\n')
('6:53\n', '2\n')
('6:52\n', '2\n')
('6:51\n', '2\n')
('6:50\n', '2\n')
('6:49\n', '2\n')
('3:47\n', '2\n')
('3:46\n', '2\n')
('3:45\n', '2\n')
('3:44\n', '2\n')
('3:43\n', '2\n')
('3:42\n', '2\n')
('1:10\n', '2\n')
('1:09\n', '2\n')
('1:08\n', '2\n')
('1:07\n', '2\n')
('1:06\n', '2\n')
('1:05\n', '2\n')
('1:04\n', '2\n')
('1:03\n', '2\n')
('10:33\n', '3\n')
('10:32\n', '3\n')
('10:31\n', '3\n')
('10:30\n', '3\n')
('10:29\n', '3\n')
('10:28\n', '3\n')
('10:27\n', '3\n')
('7:07\n', '3\n')
('7:06\n', '3\n')
('7:05\n', '3\n')
('7:04\n', '3\n')
('7:03\n', '3\n')
('7:02\n', '3\n')
('4:46\n', '3\n')
('4:45\n', '3\n')
('4:44\n', '3\n')
('4:44\n', '3\n')
('4:43\n', '3\n')
('6:03\n', '4\n')
('6:02\n', '4\n')
('6:01\n', '4\n')
('6:00\n', '4\n')
('5:59\n', '4\n')
('4:21\n', '4\n')
('4:20\n', '4\n')
('4:19\n', '4\n')
('4:18\n', '4\n')
('4:17\n', '4\n')
('4:16\n', '4\n')
('4:15\n', '4\n')
('4:15\n', '4\n')
