('4:42\n', '1\n')
('4:41\n', '1\n')
('4:40\n', '1\n')
('4:39\n', '1\n')
('4:38\n', '1\n')
('4:37\n', '1\n')
('4:34\n', '1\n')
('4:33\n', '1\n')
(':40.2\n', '1\n')
(':39.2\n', '1\n')
(':38.3\n', '1\n')
(':37.3\n', '1\n')
(':36.3\n', '1\n')
(':35.7\n', '1\n')
(':35.7\n', '1\n')
(':35.7\n', '1\n')
(':35.5\n', '1\n')
(':34.5\n', '1\n')
('11:20\n', '2\n')
('11:19\n', '2\n')
('11:18\n', '2\n')
('11:17\n', '2\n')
('11:16\n', '2\n')
('11:15\n', '2\n')
('11:14\n', '2\n')
('5:21\n', '2\n')
('5:20\n', '2\n')
('5:19\n', '2\n')
('5:18\n', '2\n')
('5:17\n', '2\n')
('5:16\n', '2\n')
('5:15\n', '2\n')
('5:11\n', '2\n')
('5:10\n', '2\n')
('5:02\n', '2\n')
('5:01\n', '2\n')
('5:00\n', '2\n')
('4:59\n', '2\n')
('4:58\n', '2\n')
('4:58\n', '2\n')
('4:00\n', '2\n')
('3:59\n', '2\n')
('3:58\n', '2\n')
('3:57\n', '2\n')
('3:56\n', '2\n')
('3:55\n', '2\n')
('3:53\n', '2\n')
('3:52\n', '2\n')
('10:20\n', '3\n')
('10:19\n', '3\n')
('10:18\n', '3\n')
('10:17\n', '3\n')
('10:16\n', '3\n')
('10:15\n', '3\n')
('10:14\n', '3\n')
('10:12\n', '3\n')
('7:46\n', '3\n')
('7:45\n', '3\n')
('7:44\n', '3\n')
('7:43\n', '3\n')
('7:42\n', '3\n')
('7:41\n', '3\n')
('7:40\n', '3\n')
('7:35\n', '3\n')
('7:34\n', '3\n')
('5:38\n', '3\n')
('5:37\n', '3\n')
('5:36\n', '3\n')
('5:35\n', '3\n')
('5:34\n', '3\n')
('9:43\n', '4\n')
('9:42\n', '4\n')
('9:41\n', '4\n')
('9:40\n', '4\n')
('9:39\n', '4\n')
('9:38\n', '4\n')
('8:38\n', '4\n')
('8:37\n', '4\n')
('8:36\n', '4\n')
('8:35\n', '4\n')
('8:34\n', '4\n')
('8:33\n', '4\n')
('8:30\n', '4\n')
('8:30\n', '4\n')
('8:29\n', '4\n')
('8:29\n', '4\n')
