('5:57\n', '1\n')
('5:56\n', '1\n')
('5:55\n', '1\n')
('5:54\n', '1\n')
('5:53\n', '1\n')
('5:52\n', '1\n')
('3:59\n', '1\n')
('3:58\n', '1\n')
('3:57\n', '1\n')
('3:56\n', '1\n')
('3:55\n', '1\n')
('1:42\n', '1\n')
('1:41\n', '1\n')
('1:40\n', '1\n')
('1:39\n', '1\n')
('1:38\n', '1\n')
('8:18\n', '2\n')
('8:17\n', '2\n')
('8:16\n', '2\n')
('8:15\n', '2\n')
('8:14\n', '2\n')
('8:13\n', '2\n')
('8:12\n', '2\n')
('8:12\n', '2\n')
('2:13\n', '2\n')
('2:12\n', '2\n')
('2:11\n', '2\n')
('2:10\n', '2\n')
('2:09\n', '2\n')
('2:08\n', '2\n')
('6.5\n', '2\n')
('8:05\n', '3\n')
('8:04\n', '3\n')
('8:03\n', '3\n')
('8:02\n', '3\n')
('8:01\n', '3\n')
('8:01\n', '3\n')
('8:01\n', '3\n')
('7:20\n', '3\n')
('7:19\n', '3\n')
('7:18\n', '3\n')
('7:17\n', '3\n')
('7:16\n', '3\n')
('7:15\n', '3\n')
('7:12\n', '3\n')
('7:11\n', '3\n')
('5:28\n', '3\n')
('5:27\n', '3\n')
('5:26\n', '3\n')
('5:25\n', '3\n')
('5:24\n', '3\n')
('5:24\n', '3\n')
('5:24\n', '3\n')
('5:24\n', '3\n')
('35.5\n', '3\n')
('34.5\n', '3\n')
('33.6\n', '3\n')
('32.6\n', '3\n')
('31.9\n', '3\n')
('31.9\n', '3\n')
('31.9\n', '3\n')
('10:16\n', '4\n')
('10:15\n', '4\n')
('10:14\n', '4\n')
('10:13\n', '4\n')
('10:12\n', '4\n')
('9:18\n', '4\n')
('9:17\n', '4\n')
('9:16\n', '41\n')
('9:15\n', '4\n')
('9:14\n', '4\n')
('9:11\n', '4\n')
('9:10\n', '4\n')
('4:53\n', '41\n')
('4:52\n', '4\n')
('4:51\n', '4\n')
('4:50\n', '4\n')
('4:49\n', '4\n')
('4:48\n', '4\n')
('4:45\n', '4\n')
('4:44\n', '4\n')
('4:17\n', '4\n')
('4:16\n', '4\n')
('4:15\n', '4\n')
('4:14\n', '4\n')
('4:13\n', '41\n')
('4:12\n', '4\n')
('4:10\n', '4\n')
('16.\n', '4\n')
('15.\n', '4\n')
('13.\n', '4\n')
