('7:13\n', '11\n')
('7:12\n', '11\n')
('7:11\n', '1\n')
('7:10\n', '1\n')
('7:09\n', '11\n')
('6:07\n', '1\n')
('6:06\n', '1\n')
('6:05\n', '1\n')
('6:04\n', '1\n')
('6:03\n', '11\n')
('6:02\n', '11\n')
('2:28\n', '11\n')
('2:27\n', '1\n')
('2:26\n', '1\n')
('2:25\n', '1\n')
('2:24\n', '1\n')
('354\n', '1\n')
('344\n', '1\n')
('334\n', '1\n')
('324\n', '11\n')
('314\n', '1\n')
('31.0\n', '11\n')
('8:20\n', '2\n')
('8:18\n', '2\n')
('8:17\n', '2\n')
('8:16\n', '2\n')
('8:15\n', '2\n')
('7:19\n', '2\n')
('7:18\n', '2\n')
('7:17\n', '2\n')
('7:16\n', '2\n')
('7:15\n', '2\n')
('7:14\n', '2\n')
('6:07\n', '2\n')
('6:06\n', '2\n')
('6:05\n', '2\n')
('6:04\n', '2\n')
('6:03\n', '2\n')
('6:02\n', '2\n')
('5:09\n', '2\n')
('5:08\n', '2\n')
('5:07\n', '2\n')
('5:06\n', '2\n')
('5:05\n', '2\n')
('2:52\n', '2\n')
('2:51\n', '2\n')
('2:50\n', '2\n')
('2:49\n', '2\n')
('2:48\n', '2\n')
('2:47\n', '2\n')
('2:46\n', '2\n')
('9:36\n', '3\n')
('9:35\n', '3\n')
('9:34\n', '3\n')
('9:33\n', '3\n')
('9:32\n', '3\n')
('9:31\n', '3\n')
('5:22\n', '3\n')
('5:21\n', '3\n')
('5:20\n', '3\n')
('5:19\n', '3\n')
('10:32\n', '4\n')
('10:31\n', '4\n')
('10:30\n', '4\n')
('10:29\n', '4\n')
('10:28\n', '4\n')
('7:35\n', '4\n')
('7:34\n', '4\n')
('7:33\n', '4\n')
('7:32\n', '4\n')
('7:31\n', '4\n')
('7:30\n', '4\n')
('7:29\n', '4\n')
('7:28\n', '4\n')
('7:27\n', '4\n')
('3:26\n', '4\n')
('3:25\n', '4\n')
('3:24\n', '4\n')
('3:23\n', '4\n')
('3:22\n', '4\n')
('3:21\n', '4\n')
('3:20\n', '4\n')
('3:04\n', '4\n')
('3:03\n', '4\n')
('3:02\n', '4\n')
('3:01\n', '4\n')
('3:00\n', '4\n')
('2:59\n', '4\n')
('2:58\n', '4\n')
('1:51\n', '4\n')
('1:50\n', '4\n')
('1:49\n', '4\n')
('1:48\n', '4\n')
('1:47\n', '4\n')
('1:46\n', '4\n')
('49.5\n', '4\n')
('48.5\n', '4\n')
('47.5\n', '4\n')
('46.5\n', '4\n')
('45.6\n', '4\n')
('45.6\n', '4\n')
