('9:19\n', '1\n')
('9:18\n', '1\n')
('9:17\n', '1\n')
('9:16\n', '1\n')
('9:15\n', '1\n')
('9:14\n', '1\n')
('9:13\n', '1\n')
('7:18\n', '1\n')
('7:09\n', '1\n')
('7:08\n', '1\n')
('71:07\n', '1\n')
('7:06\n', '1\n')
('7:05\n', '1\n')
('4:59\n', '1\n')
('4:58\n', '1\n')
('4:57\n', '1\n')
('4:56\n', '1\n')
('4:53\n', '1\n')
('4:52\n', '1\n')
('4:51\n', '1\n')
('10.0\n', '1\n')
('07.0\n', '1\n')
('05.1\n', '1\n')
('7:04\n', '1\n')
('37:03\n', '1\n')
('7:03\n', '1\n')
('71:47\n', '2\n')
('7:46\n', '2\n')
('7:45\n', '2\n')
('7:44\n', '2\n')
('7:44\n', '2\n')
('7:43\n', '2\n')
('7:42\n', '2\n')
('6:38\n', '2\n')
('6:37\n', '2\n')
('6:36\n', '2\n')
('6:35\n', '2\n')
('6:34\n', '2\n')
('6:33\n', '2\n')
('6:27\n', '2\n')
('6:26\n', '2\n')
('6:25\n', '2\n')
('3:01\n', '2\n')
('3:00\n', '2\n')
('2:59\n', '2\n')
('2:58\n', '2\n')
('2:57\n', '2\n')
(':36.1\n', '2\n')
(':35.2\n', '2\n')
('34.2\n', '2\n')
(':33.2\n', '2\n')
(':32.2\n', '2\n')
('32.1\n', '2\n')
(':04\n', '2\n')
(':03\n', '2\n')
(':02\n', '2\n')
(':01\n', '2\n')
(':01\n', '2\n')
('8:21\n', '3\n')
('8:20\n', '3\n')
('8:19\n', '3\n')
('8:18\n', '3\n')
('8:17\n', '3\n')
('8:16\n', '3\n')
('8:15\n', '3\n')
('8:14\n', '3\n')
('8:13\n', '3\n')
('8:12\n', '3\n')
('8:11\n', '3\n')
('8:10\n', '3\n')
('8:07\n', '3\n')
('8:07\n', '3\n')
('8:07\n', '3\n')
('8:07\n', '3\n')
('8:07\n', '3\n')
('8:07\n', '3\n')
('8:07\n', '3\n')
('8:07\n', '3\n')
('8:07\n', '3\n')
('8:07\n', '3\n')
('8:07\n', '3\n')
('8:07\n', '3\n')
('8:07\n', '3\n')
('7:15\n', '3\n')
('7:14\n', '3\n')
('71:13\n', '3\n')
('7:12\n', '3\n')
('71:11\n', '3\n')
('7:10\n', '3\n')
('4:16\n', '3\n')
('4:15\n', '3\n')
('4:14\n', '3\n')
('4:13\n', '3\n')
('4:12\n', '3\n')
('4:11\n', '3\n')
('4:10\n', '3\n')
('4:09\n', '3\n')
('4:08\n', '3\n')
('1:37\n', '3\n')
('1:36\n', '3\n')
('1:35\n', '3\n')
('1:34\n', '3\n')
('1:33\n', '3\n')
('1:32\n', '3\n')
('1:31\n', '3\n')
('6:48\n', '4\n')
('6:47\n', '4\n')
('6:46\n', '4\n')
('6:45\n', '4\n')
('6:44\n', '4\n')
('3:47\n', '4\n')
('3:46\n', '4\n')
('3:45\n', '4\n')
('3:44\n', '4\n')
('3:43\n', '4\n')
('3:42\n', '4\n')
('3:41\n', '4\n')
('3:40\n', '4\n')
('3:39\n', '4\n')
('3:15\n', '4\n')
('3:14\n', '4\n')
('3:13\n', '4\n')
('3:12\n', '4\n')
('3:11\n', '4\n')
('3:10\n', '4\n')
('11.3\n', '4\n')
('10.3\n', '4\n')
('09.3\n', '4\n')
('08.4\n', '4\n')
('07.4\n', '4\n')
('06.4\n', '4\n')
('05.4\n', '4\n')
('04.7\n', '4\n')
(':04.\n', '4\n')
