('6:52\n', '11\n')
('6:49\n', '1\n')
('6:49\n', '11\n')
('39.2\n', '1\n')
('38.2\n', '11\n')
('35.2\n', '1\n')
('34.9\n', '11\n')
('34.9\n', '11\n')
('10:23\n', '2\n')
('10:22\n', '2\n')
('10:21\n', '2\n')
('10:21\n', '2\n')
('10:20\n', '2\n')
('5:42\n', '2\n')
('5:41\n', '2\n')
('5:39\n', '2\n')
('5:38\n', '2\n')
('2:29\n', '2\n')
('2:28\n', '2\n')
('2:27\n', '2\n')
('2:26\n', '2\n')
('2:25\n', '2\n')
('2:24\n', '2\n')
('32.0\n', '2\n')
('31.0\n', '2\n')
('30.1\n', '2\n')
('29.1\n', '2\n')
('28.1\n', '2\n')
('27.2\n', '2\n')
('10:48\n', '3\n')
('10:47\n', '3\n')
('10:46\n', '3\n')
('10:45\n', '3\n')
('10:45\n', '3\n')
('10:45\n', '3\n')
('10:45\n', '3\n')
('10:45\n', '3\n')
('10:45\n', '3\n')
('6:50\n', '3\n')
('6:49\n', '3\n')
('6:48\n', '3\n')
('6:47\n', '3\n')
('6:46\n', '3\n')
('6:45\n', '3\n')
('6:19\n', '3\n')
('6:18\n', '3\n')
('6:17\n', '3\n')
('6:16\n', '3\n')
('6:15\n', '3\n')
('6:14\n', '3\n')
('6:13\n', '3\n')
('1:59\n', '3\n')
('1:58\n', '3\n')
('1:57\n', '3\n')
('1:56\n', '3\n')
('1:55\n', '3\n')
('1:55\n', '3\n')
('1:55\n', '3\n')
('1:55\n', '3\n')
('11:29\n', '4\n')
('11:28\n', '4\n')
('11:27\n', '4\n')
('11:26\n', '4\n')
('11:25\n', '4\n')
('11:18\n', '4\n')
('11:17\n', '4\n')
('11:16\n', '4\n')
('11:15\n', '4\n')
('11:13\n', '4\n')
('9:35\n', '4\n')
('9:33\n', '4\n')
('9:32\n', '4\n')
('9:28\n', '4\n')
('9:27\n', '4\n')
('9:27\n', '4\n')
