('6:46\n', '1\n')
('6:45\n', '1\n')
('6:44\n', '1\n')
('6:43\n', '1\n')
('6:42\n', '1\n')
('6:41\n', '1\n')
('6:38\n', '1\n')
('6:37\n', '1\n')
('2:21\n', '1\n')
('2:20\n', '1\n')
('2:19\n', '1\n')
('2:18\n', '1\n')
('1:40\n', '1\n')
('1:39\n', '1\n')
('1:38\n', '1\n')
('1:37\n', '1\n')
('1:36\n', '1\n')
('1:35\n', '1\n')
('1:34\n', '1\n')
('1:31\n', '1\n')
('1:30\n', '1\n')
(':16.8\n', '1\n')
(':15.8\n', '1\n')
(':14.9\n', '1\n')
(':14.2\n', '1\n')
('14.2\n', '1\n')
('9:34\n', '2\n')
('9:33\n', '2\n')
('9:32\n', '2\n')
('9:31\n', '2\n')
('9:30\n', '2\n')
('9:29\n', '2\n')
('9:26\n', '2\n')
('9:25\n', '2\n')
('3:59\n', '2\n')
('3:58\n', '2\n')
('3:57\n', '2\n')
('3:56\n', '2\n')
('3:55\n', '2\n')
('3:55\n', '2\n')
('3:55\n', '2\n')
('3:55\n', '2\n')
('3:55\n', '2\n')
('2:52\n', '2\n')
('2:51\n', '2\n')
('2:50\n', '2\n')
('2:49\n', '2\n')
('2:48\n', '2\n')
('2:46\n', '2\n')
('2:45\n', '2\n')
('2:44\n', '2\n')
('10:13\n', '3\n')
('10:12\n', '3\n')
('10:11\n', '3\n')
('10:1\n', '3\n')
('10:0\n', '3\n')
('10:08\n', '3\n')
('10:08\n', '3\n')
('7:14\n', '3\n')
('7:13\n', '3\n')
('7:12\n', '3\n')
('7:11\n', '3\n')
('7:10\n', '3\n')
('7:09\n', '3\n')
('6:05\n', '3\n')
('6:05\n', '3\n')
('6:04\n', '3\n')
('6:03\n', '3\n')
('6:02\n', '3\n')
('6:01\n', '3\n')
('6:01\n', '3\n')
('7:18\n', '4\n')
('1:17\n', '4\n')
('7:16\n', '4\n')
('7:15\n', '4\n')
('7:14\n', '4\n')
('7:13\n', '4\n')
('71:12\n', '4\n')
('71:11\n', '4\n')
('7:10\n', '4\n')
('71:09\n', '4\n')
('7:08\n', '4\n')
('5:54\n', '4\n')
('5:53\n', '4\n')
('5:52\n', '4\n')
('5:51\n', '4\n')
('5:50\n', '4\n')
('5:49\n', '4\n')
('5:48\n', '4\n')
('5:47\n', '4\n')
('5:46\n', '4\n')
('5:45\n', '4\n')
('5:43\n', '4\n')
('5:43\n', '4\n')
('5:42\n', '4\n')
('5:42\n', '4\n')
