('9:16\n', '1\n')
('9:15\n', '11\n')
('9:14\n', '11\n')
('9:13\n', '1\n')
('9:12\n', '1\n')
('9:11\n', '1\n')
('7:45\n', '1\n')
('7:44\n', '11\n')
('7:43\n', '11\n')
('7:42\n', '11\n')
('7:41\n', '11\n')
('7:40\n', '11\n')
('7:39\n', '11\n')
('7:39\n', '11\n')
('6:20\n', '11\n')
('6:19\n', '11\n')
('6:18\n', '11\n')
('6:17\n', '11\n')
('6:16\n', '11\n')
('2:35\n', '11\n')
('2:34\n', '11\n')
('2:33\n', '11\n')
('2:32\n', '1\n')
('2:31\n', '11\n')
('2:30\n', '1\n')
('2:29\n', '11\n')
('2:28\n', '1\n')
('2:27\n', '1\n')
('1:43\n', '11\n')
('1:42\n', '11\n')
('1:41\n', '11\n')
('1:40\n', '11\n')
('1:39\n', '11\n')
('1:38\n', '1\n')
('1:37\n', '11\n')
(':05.9\n', '11\n')
('04.9\n', '11\n')
('03.9\n', '1\n')
('02.9\n', '11\n')
('02.1\n', '1\n')
('102.1\n', '1\n')
('7:28\n', '2\n')
('7:27\n', '2\n')
('7:26\n', '2\n')
('7:25\n', '2\n')
('7:24\n', '2\n')
('7:20\n', '2\n')
('7:19\n', '2\n')
('7:12\n', '2\n')
('7:11\n', '2\n')
('7:10\n', '2\n')
('7:09\n', '2\n')
('7:08\n', '2\n')
('7:07\n', '2\n')
('7:06\n', '2\n')
(':03\n', '2\n')
(':02\n', '2\n')
(':01\n', '2\n')
('7:53\n', '3\n')
('7:52\n', '3\n')
('7:51\n', '3\n')
('7:50\n', '3\n')
('7:49\n', '3\n')
('7:31\n', '3\n')
('7:30\n', '3\n')
('7:29\n', '3\n')
('7:28\n', '3\n')
('7:27\n', '3\n')
('3:41\n', '3\n')
('3:40\n', '3\n')
('3:39\n', '3\n')
('3:38\n', '3\n')
('3:37\n', '3\n')
('3:36\n', '3\n')
('3:35\n', '3\n')
('3:34\n', '3\n')
('11:43\n', '4\n')
('11:42\n', '4\n')
('11:41\n', '4\n')
('11:41\n', '4\n')
('11:40\n', '4\n')
('11:39\n', '4\n')
('11:35\n', '4\n')
('11:34\n', '4\n')
('7:37\n', '4\n')
('7:36\n', '4\n')
('7:35\n', '4\n')
('7:34\n', '4\n')
('7:33\n', '4\n')
('7:32\n', '4\n')
('7:31\n', '4\n')
('5:14\n', '4\n')
('5:13\n', '4\n')
('5:12\n', '4\n')
('5:11\n', '4\n')
('5:10\n', '4\n')
('5:09\n', '4\n')
('5:08\n', '4\n')
('4:09\n', '4\n')
('4:08\n', '4\n')
('4:07\n', '4\n')
('4:06\n', '4\n')
('4:05\n', '4\n')
('4:04\n', '4\n')
('2:46\n', '4\n')
('2:45\n', '4\n')
('2:44\n', '4\n')
('2:43\n', '4\n')
('2:42\n', '4\n')
('2:41\n', '4\n')
('2:38\n', '4\n')
('2:37\n', '4\n')
('2:36\n', '4\n')
('2:35\n', '4\n')
