('9:09\n', '3\n')
('9:08\n', '3\n')
('9:07\n', '3\n')
('9:05\n', '3\n')
('9:04\n', '3\n')
('9:03\n', '3\n')
('9:02\n', '3\n')
('7:23\n', '3\n')
('7:22\n', '3\n')
('7:21\n', '3\n')
('7:20\n', '3\n')
('7:19\n', '3\n')
('7:18\n', '3\n')
('2:17\n', '3\n')
('7:16\n', '3\n')
('7:15\n', '3\n')
('7:14\n', '3\n')
('7:13\n', '3\n')
('7:12\n', '3\n')
('7:11\n', '3\n')
('8:28\n', '4\n')
('8:27\n', '4\n')
('8:26\n', '4\n')
('8:25\n', '4\n')
('8:24\n', '4\n')
('8:23\n', '4\n')
('8:22\n', '4\n')
('4:03\n', '4\n')
('4:01\n', '4\n')
(':\n', '4\n')
('3:59\n', '4\n')
('3:58\n', '4\n')
('4\n', '4\n')
('3:50\n', '4\n')
('3:49\n', '4\n')
('3:48\n', '4\n')
(':4\n', '4\n')
('3:46\n', '4\n')
('3:45\n', '4\n')
('1:48\n', '4\n')
('1:47\n', '4\n')
('1:46\n', '4\n')
('3\n', '4\n')
(':1\n', '4\n')
('1:43\n', '4\n')
('1:42\n', '4\n')
('1:42\n', '4\n')
('1:42\n', '4\n')
('1:42\n', '4\n')
('14.5\n', '4\n')
('12.5\n', '4\n')
('11.5\n', '4\n')
('10.\n', '4\n')
('9.5\n', '4\n')
('8.6\n', '4\n')
('7.6\n', '4\n')
('6.6\n', '4\n')
('5.9\n', '4\n')
('5.9\n', '4\n')
('5.9\n', '4\n')
('5.9\n', '4\n')
('5.9\n', '4\n')
('5.9\n', '4\n')
('5.0\n', '4\n')
('4.0\n', '4\n')
('2.0\n', '4\n')
('1.0\n', '4\n')
('0.0\n', '4\n')
('0.0\n', '4\n')
('0.0\n', '4\n')
('7.3\n', '2\n')
('7.3\n', '2\n')
('7.3\n', '2\n')
('6.6\n', '2\n')
('5.6\n', '2\n')
('4.7\n', '2\n')
('4.7\n', '2\n')
('4.7\n', '2\n')
('4.7\n', '2\n')
('4.1\n', '2\n')
('3.1\n', '2\n')
('2.2\n', '2\n')
('1.2\n', '2\n')
('1.2\n', '2\n')
('1.2\n', '2\n')
('1.2\n', '2\n')
('1.2\n', '2\n')
('1.2\n', '2\n')
('1.2\n', '2\n')
('1.2\n', '2\n')
('1.2\n', '2\n')
('1.2\n', '2\n')
('1.2\n', '2\n')
('1.2\n', '2\n')
('1.2\n', '2\n')
('1.2\n', '2\n')
('0.3\n', '2\n')
('0.0\n', '2\n')
('0.0\n', '2\n')
('0.0\n', '2\n')
('0.0\n', '2\n')
