('8:48\n', '11\n')
('8:47\n', '1\n')
('8:46\n', '1\n')
('8:45\n', '11\n')
('8:44\n', '1\n')
('8:44\n', '11\n')
('8:43\n', '11\n')
('8:43\n', '1\n')
('8:43\n', '1\n')
('8:43\n', '1\n')
('1:27\n', '1\n')
('7:26\n', '11\n')
('71:25\n', '11\n')
('1:24\n', '1\n')
('7:23\n', '1\n')
('71:22\n', '1\n')
('1:21\n', '1\n')
('7:20\n', '1\n')
('4:52\n', '11\n')
('4:51\n', '11\n')
('4:50\n', '11\n')
('4:49\n', '11\n')
('4:48\n', '11\n')
('4:47\n', '1\n')
('4:46\n', '11\n')
('4:44\n', '1\n')
('4:43\n', '1\n')
('8:16\n', '2\n')
('8:16\n', '2\n')
('8:15\n', '2\n')
('8:14\n', '2\n')
('8:13\n', '2\n')
('8:12\n', '2\n')
('8:11\n', '2\n')
('8:10\n', '2\n')
('6:01\n', '2\n')
('5:59\n', '2\n')
('5:58\n', '2\n')
('5:57\n', '2\n')
('5:56\n', '2\n')
('5:54\n', '2\n')
('5:53\n', '2\n')
('1:45\n', '2\n')
('1:44\n', '2\n')
('1:43\n', '2\n')
('1:42\n', '2\n')
('1:41\n', '2\n')
('1:40\n', '2\n')
('1:39\n', '2\n')
('1:38\n', '2\n')
('1:37\n', '2\n')
('1:37\n', '2\n')
('1:37\n', '2\n')
('1:37\n', '2\n')
('7:33\n', '3\n')
('7:32\n', '3\n')
('7:31\n', '3\n')
('7:30\n', '3\n')
('7:29\n', '3\n')
('7:28\n', '3\n')
('7:27\n', '3\n')
('7:26\n', '3\n')
('7:26\n', '3\n')
('7:26\n', '3\n')
('6:25\n', '3\n')
('6:24\n', '3\n')
('6:23\n', '3\n')
('6:22\n', '3\n')
('6:21\n', '3\n')
('6:20\n', '3\n')
('6:19\n', '3\n')
('6:17\n', '3\n')
('6:16\n', '3\n')
('6:15\n', '3\n')
('10:52\n', '4\n')
('10:51\n', '4\n')
('10:50\n', '4\n')
('10:49\n', '4\n')
('10:48\n', '4\n')
('10:47\n', '4\n')
('10:47\n', '4\n')
('10:46\n', '4\n')
('10:45\n', '4\n')
('10:42\n', '4\n')
('10:41\n', '4\n')
('8:22\n', '4\n')
('8:21\n', '4\n')
('8:20\n', '4\n')
('8:19\n', '4\n')
('8:18\n', '4\n')
('8:17\n', '4\n')
('8:16\n', '4\n')
('8:15\n', '4\n')
('8:14\n', '4\n')
('5:36\n', '4\n')
('5:35\n', '4\n')
('5:34\n', '4\n')
('5:33\n', '4\n')
('5:32\n', '4\n')
('5:31\n', '4\n')
('5:30\n', '4\n')
('5:30\n', '4\n')
('5:30\n', '4\n')
('5:30\n', '4\n')
('5:30\n', '4\n')
('5:30\n', '4\n')
