('9:25\n', '1\n')
('9:24\n', '1\n')
('9:23\n', '1\n')
('9:22\n', '1\n')
('9:21\n', '1\n')
('9:20\n', '1\n')
('8:07\n', '1\n')
('8:05\n', '1\n')
('6:19\n', '1\n')
('6:18\n', '1\n')
('6:17\n', '1\n')
('6:16\n', '1\n')
('6:15\n', '1\n')
('6:14\n', '1\n')
('6:13\n', '1\n')
('6:11\n', '1\n')
('6:10\n', '1\n')
('9:46\n', '2\n')
('9:45\n', '2\n')
('9:44\n', '2\n')
('9:43\n', '2\n')
('9:42\n', '2\n')
('9:41\n', '2\n')
('9:40\n', '2\n')
('9:38\n', '2\n')
('9:37\n', '2\n')
('5:46\n', '2\n')
('5:45\n', '2\n')
('5:44\n', '2\n')
('5:43\n', '2\n')
('5:42\n', '2\n')
('5:41\n', '2\n')
(':02\n', '2\n')
(':01\n', '2\n')
('8:19\n', '3\n')
('8:18\n', '3\n')
('8:17\n', '3\n')
('8:16\n', '3\n')
('8:15\n', '3\n')
('5:30\n', '3\n')
('5:29\n', '3\n')
('5:28\n', '3\n')
('5:27\n', '3\n')
('5:26\n', '3\n')
('5:25\n', '3\n')
(':55.2\n', '3\n')
(':54.2\n', '3\n')
(':53.2\n', '3\n')
(':52.2\n', '3\n')
(':51.2\n', '3\n')
(':50.2\n', '3\n')
(':49.3\n', '3\n')
('48.7\n', '3\n')
('48.7\n', '3\n')
('48.7\n', '3\n')
('48.7\n', '3\n')
(':48.7\n', '3\n')
('48.7\n', '3\n')
('11:44\n', '4\n')
('11:43\n', '4\n')
('11:42\n', '4\n')
('11:41\n', '4\n')
('11:40\n', '4\n')
('11:39\n', '4\n')
('11:38\n', '4\n')
('11:37\n', '4\n')
('11:36\n', '4\n')
('11:34\n', '4\n')
('11:33\n', '4\n')
('11:32\n', '4\n')
('6:47\n', '4\n')
('6:46\n', '4\n')
('6:45\n', '4\n')
('6:44\n', '4\n')
('6:43\n', '4\n')
('6:42\n', '4\n')
('6:41\n', '4\n')
('5:29\n', '4\n')
('5:28\n', '4\n')
('5:27\n', '4\n')
('5:26\n', '4\n')
('5:25\n', '4\n')
('5:23\n', '4\n')
('5:22\n', '4\n')
('2:27\n', '4\n')
('2:26\n', '4\n')
('2:25\n', '4\n')
('2:24\n', '4\n')
('2:23\n', '4\n')
('2:22\n', '4\n')
('2:21\n', '4\n')
('2:20\n', '4\n')
('2:15\n', '4\n')
('2:15\n', '4\n')
('2:15\n', '4\n')
