('5:48\n', '1\n')
('5:47\n', '11\n')
('5:46\n', '11\n')
('5:45\n', '11\n')
('5:44\n', '11\n')
('5:43\n', '11\n')
('5:42\n', '11\n')
('3:14\n', '11\n')
('3:13\n', '11\n')
('3:12\n', '11\n')
('3:11\n', '11\n')
('3:10\n', '11\n')
('3:09\n', '11\n')
('3:08\n', '11\n')
('3:07\n', '11\n')
('2:53\n', '1\n')
('2:52\n', '11\n')
('2:51\n', '11\n')
('2:50\n', '11\n')
('2:49\n', '11\n')
('2:47\n', '11\n')
('2:46\n', '11\n')
(':09.3\n', '1\n')
('08.3\n', '1\n')
('07.4\n', '11\n')
('06.4\n', '11\n')
('05.4\n', '1\n')
('04.6\n', '11\n')
('7:35\n', '2\n')
('7:34\n', '2\n')
('7:33\n', '2\n')
('1:32\n', '24\n')
('7:31\n', '2\n')
('7:30\n', '2\n')
('7:29\n', '2\n')
('7:28\n', '2\n')
('1:21\n', '2\n')
('2:41\n', '2\n')
('2:40\n', '2\n')
('2:39\n', '2\n')
('2:38\n', '24\n')
('2:37\n', '2\n')
('2:36\n', '2\n')
('2:32\n', '2\n')
('2:31\n', '2\n')
('6:23\n', '3\n')
('6:22\n', '3\n')
('6:21\n', '3\n')
('6:20\n', '3\n')
('6:19\n', '3\n')
('6:18\n', '3\n')
('5:42\n', '3\n')
('5:41\n', '3\n')
('5:40\n', '3\n')
('5:39\n', '3\n')
('5:38\n', '3\n')
('5:37\n', '3\n')
('5:35\n', '3\n')
('4:56\n', '3\n')
('4:55\n', '3\n')
('4:54\n', '3\n')
('4:53\n', '3\n')
('4:52\n', '3\n')
('4:51\n', '3\n')
('3:34\n', '3\n')
('3:33\n', '3\n')
('3:32\n', '3\n')
('3:31\n', '3\n')
('3:30\n', '3\n')
('3:29\n', '3\n')
('3:28\n', '3\n')
('3:27\n', '3\n')
('3:25\n', '3\n')
('3:25\n', '3\n')
('02.6\n', '3\n')
('01.6\n', '3\n')
('00.6\n', '3\n')
('00.0\n', '3\n')
('11:00\n', '414\n')
('10:59\n', '414\n')
('10:58\n', '414\n')
('10:57\n', '4\n')
('10:56\n', '414\n')
('10:55\n', '414\n')
('10:54\n', '414\n')
('10:53\n', '4\n')
('10:49\n', '1\n')
('10:49\n', '4\n')
('10:48\n', '4\n')
('10:48\n', '4\n')
