('8:57\n', '1\n')
('8:55\n', '1\n')
('8:54\n', '1\n')
('8:53\n', '1\n')
('8:52\n', '1\n')
('4:40\n', '1\n')
('4:39\n', '1\n')
('4:38\n', '1\n')
('4:37\n', '1\n')
('4:36\n', '1\n')
('4:35\n', '1\n')
('1:01\n', '1\n')
('1:00\n', '1\n')
(':59.1\n', '1\n')
(':58.1\n', '1\n')
('57.1\n', '1\n')
('156.2\n', '1\n')
(':56.2\n', '1\n')
('56.2\n', '1\n')
(':55.6\n', '1\n')
('54.6\n', '1\n')
('9:11\n', '2\n')
('9:10\n', '2\n')
('9:07\n', '2\n')
('9:07\n', '2\n')
('4:13\n', '2\n')
('4:12\n', '2\n')
('4:11\n', '2\n')
('4:10\n', '2\n')
('4:09\n', '2\n')
('4:08\n', '2\n')
('4:08\n', '2\n')
('4:07\n', '2\n')
('1:15\n', '2\n')
('1:14\n', '2\n')
('1:13\n', '2\n')
('1:12\n', '2\n')
('1:11\n', '2\n')
('1:10\n', '2\n')
('6:56\n', '3\n')
('6:54\n', '3\n')
('6:53\n', '3\n')
('6:52\n', '3\n')
('6:51\n', '3\n')
('6:27\n', '3\n')
('6:26\n', '3\n')
('6:25\n', '3\n')
('6:24\n', '3\n')
('6:23\n', '3\n')
('6:22\n', '3\n')
('6:20\n', '3\n')
('6:19\n', '3\n')
('8:49\n', '4\n')
('8:48\n', '4\n')
('8:47\n', '4\n')
('8:46\n', '4\n')
('8:45\n', '4\n')
('8:44\n', '4\n')
('5:58\n', '4\n')
('5:57\n', '4\n')
('5:56\n', '4\n')
('5:55\n', '4\n')
('5:54\n', '4\n')
('5:53\n', '4\n')
('4:03\n', '4\n')
('4:02\n', '4\n')
('4:01\n', '4\n')
('4:00\n', '4\n')
('3:59\n', '4\n')
('3:58\n', '4\n')
('2:36\n', '4\n')
('2:35\n', '4\n')
('2:34\n', '4\n')
('2:33\n', '4\n')
('2:32\n', '4\n')
('2:31\n', '4\n')
('2:30\n', '4\n')
(':44.4\n', '4\n')
(':43.4\n', '4\n')
(':42.4\n', '4\n')
(':41.4\n', '4\n')
(':40.4\n', '4\n')
(':40.0\n', '4\n')
(':40.0\n', '4\n')
(':18.1\n', '4\n')
(':18.1\n', '4\n')
