('7:12\n', '1\n')
('7:11\n', '1\n')
('7:10\n', '1\n')
('7:09\n', '1\n')
('7:08\n', '1\n')
('7:07\n', '1\n')
('7:06\n', '1\n')
('4:41\n', '1\n')
('4:40\n', '1\n')
('4:39\n', '1\n')
('4:38\n', '1\n')
('4:37\n', '1\n')
('4:36\n', '1\n')
('2:29\n', '1\n')
('2:28\n', '1\n')
('2:27\n', '1\n')
('2:26\n', '1\n')
('2:25\n', '1\n')
('2:24\n', '1\n')
('2:23\n', '1\n')
('2:22\n', '1\n')
('11:45\n', '2\n')
('11:44\n', '2\n')
('11:43\n', '2\n')
('11:42\n', '2\n')
('11:41\n', '2\n')
('11:40\n', '2\n')
('8:47\n', '2\n')
('8:46\n', '2\n')
('8:45\n', '2\n')
('8:44\n', '2\n')
('8:43\n', '2\n')
('8:42\n', '2\n')
('8:41\n', '2\n')
('8:40\n', '2\n')
('8:39\n', '2\n')
('7:06\n', '2\n')
('7:05\n', '2\n')
('7:04\n', '2\n')
('7:03\n', '2\n')
('7:02\n', '2\n')
('7:01\n', '2\n')
('7:00\n', '2\n')
('2:49\n', '2\n')
('2:48\n', '2\n')
('2:47\n', '2\n')
('2:46\n', '2\n')
('2:45\n', '2\n')
('2:44\n', '2\n')
('2:43\n', '2\n')
('9:21\n', '3\n')
('9:20\n', '3\n')
('9:19\n', '3\n')
('9:18\n', '3\n')
('9:17\n', '3\n')
('9:16\n', '3\n')
('9:15\n', '3\n')
('9:14\n', '3\n')
('9:12\n', '3\n')
('5:34\n', '3\n')
('5:33\n', '3\n')
('5:32\n', '3\n')
('5:31\n', '3\n')
('5:30\n', '3\n')
('5:29\n', '3\n')
('5:28\n', '3\n')
('5:27\n', '3\n')
('5:27\n', '3\n')
('5:27\n', '3\n')
('3:17\n', '3\n')
('3:16\n', '3\n')
('3:15\n', '3\n')
('3:14\n', '3\n')
('3:13\n', '3\n')
('3:12\n', '3\n')
('3:11\n', '3\n')
('3:10\n', '3\n')
('1:37\n', '3\n')
('1:36\n', '3\n')
('1:35\n', '3\n')
('1:34\n', '3\n')
('1:33\n', '3\n')
('1:32\n', '3\n')
('1:31\n', '3\n')
('1:28\n', '3\n')
('10:00\n', '4\n')
('9:59\n', '4\n')
('9:58\n', '4\n')
('9:57\n', '4\n')
('9:56\n', '4\n')
('9:55\n', '4\n')
('9:54\n', '4\n')
('9:53\n', '4\n')
('9:52\n', '4\n')
('7:02\n', '4\n')
('7:01\n', '4\n')
('7:00\n', '4\n')
('6:59\n', '4\n')
('6:58\n', '4\n')
('6:57\n', '4\n')
('6:56\n', '4\n')
('4:25\n', '4\n')
('4:24\n', '4\n')
('4:23\n', '4\n')
('4:22\n', '4\n')
('4:21\n', '4\n')
('4:20\n', '4\n')
('4:18\n', '4\n')
('4:17\n', '4\n')
('4:17\n', '4\n')
