('10:48\n', '1\n')
('10:47\n', '1\n')
('10:46\n', '1\n')
('10:45\n', '1\n')
('10:44\n', '1\n')
('6:35\n', '1\n')
('6:34\n', '1\n')
('6:33\n', '1\n')
('6:32\n', '1\n')
('6:31\n', '1\n')
('3:23\n', '1\n')
('3:22\n', '1\n')
('3:21\n', '1\n')
('3:20\n', '1\n')
('3:19\n', '1\n')
('3:16\n', '2\n')
('3:15\n', '2\n')
('3:14\n', '2\n')
('3:13\n', '2\n')
('3:12\n', '2\n')
('3:11\n', '2\n')
('3:10\n', '2\n')
('38.5\n', '2\n')
('37.5\n', '2\n')
('36.5\n', '2\n')
('35.6\n', '2\n')
('34.6\n', '2\n')
('34.1\n', '2\n')
('5:23\n', '4\n')
('5:22\n', '4\n')
('5:21\n', '4\n')
('5:20\n', '4\n')
('5:19\n', '4\n')
('5:18\n', '4\n')
('3:43\n', '4\n')
('3:42\n', '4\n')
('3:41\n', '4\n')
('3:40\n', '4\n')
('3:39\n', '4\n')
('3:38\n', '4\n')
('3:37\n', '4\n')
('1:41\n', '4\n')
('1:40\n', '4\n')
('1:39\n', '4\n')
('1:38\n', '4\n')
('1:16\n', '4\n')
('1:15\n', '4\n')
('1:14\n', '4\n')
('1:13\n', '4\n')
('1:13\n', '4\n')
('42.3\n', '4\n')
('41.49\n', '4\n')
('40.4\n', '4\n')
('39.9\n', '4\n')
('38.49\n', '4\n')
('37.9\n', '4\n')
('37.9\n', '4\n')
('21.7\n', '4\n')
('20.8\n', '4\n')
('19.8\n', '4\n')
('18.8\n', '4\n')
('17.8\n', '4\n')
