('7:58\n', '1\n')
('1:57\n', '1\n')
('7:56\n', '1\n')
('71:55\n', '11\n')
('71:54\n', '1\n')
('7:53\n', '1\n')
('1:52\n', '1\n')
('71:51\n', '1\n')
('5:25\n', '1\n')
('5:24\n', '1\n')
('5:23\n', '11\n')
('5:22\n', '1\n')
('5:21\n', '1\n')
('5:20\n', '1\n')
('5:17\n', '1\n')
('5:16\n', '1\n')
('2:29\n', '1\n')
('2:28\n', '11\n')
('2:27\n', '11\n')
('2:26\n', '1\n')
('2:25\n', '11\n')
('2:24\n', '1\n')
('10:26\n', '2\n')
('10:25\n', '2\n')
('10:24\n', '2\n')
('10:23\n', '2\n')
('10:22\n', '2\n')
('10:21\n', '2\n')
('2:51\n', '2\n')
('2:50\n', '2\n')
('2:49\n', '2\n')
('2:48\n', '2\n')
('2:47\n', '2\n')
('2:46\n', '2\n')
('2:43\n', '2\n')
('2:42\n', '2\n')
(':04\n', '2\n')
(':03\n', '2\n')
(':03\n', '2\n')
(':01\n', '2\n')
(':01\n', '2\n')
('10:40\n', '3\n')
('10:39\n', '3\n')
('10:38\n', '3\n')
('10:37\n', '3\n')
('10:36\n', '3\n')
('10:35\n', '3\n')
('9:36\n', '3\n')
('9:35\n', '3\n')
('9:34\n', '3\n')
('9:33\n', '3\n')
('9:32\n', '3\n')
('5:35\n', '3\n')
('5:34\n', '3\n')
('5:33\n', '3\n')
('5:32\n', '3\n')
('5:31\n', '3\n')
('5:30\n', '3\n')
('2:37\n', '3\n')
('2:36\n', '3\n')
('2:35\n', '3\n')
('2:34\n', '3\n')
('2:33\n', '3\n')
('2:32\n', '3\n')
('10:24\n', '4\n')
('10:23\n', '4\n')
('10:22\n', '4\n')
('10:21\n', '4\n')
('10:20\n', '4\n')
('10:19\n', '4\n')
('10:18\n', '4\n')
('4:15\n', '4\n')
('4:14\n', '4\n')
('4:13\n', '4\n')
('4:12\n', '4\n')
('4:11\n', '4\n')
('4:10\n', '4\n')
('2:47\n', '4\n')
('2:46\n', '4\n')
('2:45\n', '4\n')
('2:44\n', '4\n')
('2:43\n', '4\n')
('2:42\n', '4\n')
('2:41\n', '4\n')
('1:52\n', '4\n')
('1:51\n', '4\n')
('1:50\n', '4\n')
('1:49\n', '4\n')
('1:48\n', '4\n')
('1:47\n', '4\n')
('1:47\n', '4\n')
