('10:14\n', '1\n')
('10:13\n', '1\n')
('10:12\n', '1\n')
('10:11\n', '1\n')
('10:10\n', '1\n')
('10:09\n', '1\n')
('7:07\n', '1\n')
('7:06\n', '1\n')
('7:05\n', '1\n')
('7:04\n', '1\n')
('7:03\n', '1\n')
('7:02\n', '11\n')
('6:33\n', '1\n')
('6:32\n', '1\n')
('6:31\n', '1\n')
('6:30\n', '1\n')
('6:29\n', '1\n')
('6:28\n', '1\n')
('6:27\n', '1\n')
('.50.1\n', '1\n')
('.47.1\n', '1\n')
('9:17\n', '2\n')
('9:16\n', '2\n')
('9:15\n', '2\n')
('9:14\n', '2\n')
('9:13\n', '2\n')
('9:12\n', '2\n')
('9:10\n', '2\n')
('6:35\n', '2\n')
('6:34\n', '2\n')
('6:33\n', '2\n')
('6:32\n', '2\n')
('6:31\n', '2\n')
('6:30\n', '2\n')
('3:35\n', '2\n')
('3:34\n', '2\n')
('3:33\n', '2\n')
('3:32\n', '2\n')
('3:31\n', '2\n')
('3:30\n', '2\n')
('3:29\n', '2\n')
('3:28\n', '2\n')
('3:27\n', '2\n')
('2:26\n', '2\n')
('2:25\n', '2\n')
('2:24\n', '2\n')
('2:23\n', '2\n')
('2:22\n', '2\n')
('2:21\n', '2\n')
('6.2\n', '2\n')
('52\n', '2\n')
('4.2\n', '2\n')
('3.3\n', '2\n')
('3.3\n', '2\n')
('7:38\n', '3\n')
('7:37\n', '3\n')
('7:36\n', '3\n')
('7:35\n', '3\n')
('7:34\n', '3\n')
('7:33\n', '3\n')
('3:10\n', '3\n')
('3:09\n', '3\n')
('3:08\n', '3\n')
('3:07\n', '3\n')
('3:06\n', '3\n')
('3:05\n', '3\n')
('3:04\n', '3\n')
('3:03\n', '3\n')
('2:19\n', '3\n')
('2:18\n', '3\n')
('2:17\n', '3\n')
('2:16\n', '3\n')
('2:15\n', '3\n')
('2:14\n', '3\n')
('2:14\n', '3\n')
('2:14\n', '3\n')
('2:14\n', '3\n')
('2:14\n', '3\n')
('5:07\n', '4\n')
('5:06\n', '4\n')
('5:05\n', '4\n')
('5:04\n', '4\n')
('5:04\n', '4\n')
('5:04\n', '4\n')
('3:17\n', '4\n')
('3:16\n', '4\n')
('3:15\n', '4\n')
('3:14\n', '4\n')
('3:13\n', '4\n')
('3:12\n', '4\n')
('3:11\n', '4\n')
('2:35\n', '4\n')
('2:34\n', '4\n')
('2:33\n', '4\n')
('2:32\n', '4\n')
('2:31\n', '4\n')
('2:30\n', '4\n')
('2:30\n', '4\n')
('2:30\n', '4\n')
('2:30\n', '4\n')
('1:43\n', '4\n')
('1:42\n', '4\n')
('1:41\n', '4\n')
('1:40\n', '4\n')
('1:39\n', '4\n')
('1:39\n', '4\n')
('1:39\n', '4\n')
('1:39\n', '4\n')
('.43.6\n', '4\n')
('.42.6\n', '4\n')
('.41.7\n', '4\n')
('.40.6\n', '4\n')
('.40.1\n', '4\n')
('40.1\n', '4\n')
('40.1\n', '4\n')
('.21.9\n', '4\n')
('.20.9\n', '4\n')
(':19.9\n', '4\n')
('.18.9\n', '4\n')
('.18.0\n', '1 4\n')
('17.0\n', '4\n')
(':16.2\n', '4\n')
(':.16.2\n', '4\n')
(':16.2\n', '4\n')
(':.16.2\n', '4\n')
('16.2\n', '4\n')
('.16.2\n', '4\n')
(':16.2\n', '4\n')
(':16.2\n', '4\n')
(':16.2\n', '4\n')
(':16.2\n', '4\n')
('4.4\n', '4\n')
('4.4\n', '4\n')
('.40\n', '4\n')
('.3.0\n', '4\n')
('2.2\n', '4\n')
(':2.2\n', '14\n\n4\n')
(':2.2\n', '4\n')
('2.2\n', '4\n')
('2.2\n', '4\n')
(':2.2\n', '4\n')
('2.2\n', '4\n')
