('9:36\n', '1\n')
('9:35\n', '1\n')
('9:34\n', '1\n')
('9:33\n', '1\n')
('9:32\n', '1\n')
('9:31\n', '1\n')
('9:30\n', '1\n')
('9:29\n', '1\n')
('4:53\n', '1\n')
('452\n', '1\n')
('451\n', '1\n')
('4.50\n', '1\n')
('4:49\n', '1\n')
('4:48\n', '1\n')
('4:47\n', '1\n')
('4:46\n', '1\n')
('4:45\n', '1\n')
('4:44\n', '1\n')
('4:43\n', '1\n')
('6:32\n', '2\n')
('6:31\n', '2\n')
('6:30\n', '2\n')
('6:29\n', '2\n')
('6:28\n', '2\n')
('6:26\n', '2\n')
('6:25\n', '2\n')
('3:54\n', '2\n')
('3:.53\n', '2\n')
('3:52\n', '2\n')
('3.51\n', '2\n')
('3:50\n', '2\n')
('3:49\n', '2\n')
('3:48\n', '2\n')
('3:47\n', '2\n')
('3:.47\n', '2\n')
('3.46\n', '2\n')
('3:46\n', '2\n')
('2:28\n', '2\n')
('2:27\n', '2\n')
('2:26\n', '2\n')
('2:25\n', '2\n')
('1:35\n', '2\n')
('1:34\n', '2\n')
('1:33\n', '2\n')
('1:32\n', '2\n')
('1:31\n', '2\n')
('1:30\n', '2\n')
(':14.8\n', '2\n')
(':13.8\n', '2\n')
(':12.8\n', '2\n')
(':11.8\n', '2\n')
(':10.8\n', '2\n')
('1:10.3\n', '2\n')
(':10.3\n', '2\n')
(':10.3\n', '2\n')
('8.28\n', '3\n')
('8.27\n', '3\n')
('8.26\n', '3\n')
('8.25\n', '3\n')
('824\n', '3\n')
('8.23\n', '3\n')
('8:22\n', '3\n')
('7:10\n', '3\n')
('7:09\n', '3\n')
('7.08\n', '3\n')
('7:07\n', '3\n')
('7:06\n', '3\n')
('7:05\n', '3\n')
('7:01\n', '3\n')
('7:00\n', '3\n')
('4:39\n', '3\n')
('4:38\n', '3\n')
('4.37\n', '3\n')
('4.36\n', '3\n')
('4:35\n', '3\n')
('4:35\n', '3\n')
('4:35\n', '3\n')
('4:35\n', '3\n')
('4:35\n', '3\n')
('4:35\n', '3\n')
('2.01\n', '3\n')
('2:00\n', '3\n')
('1:59\n', '3\n')
('1:58\n', '3\n')
('1:57\n', '3\n')
('1:56\n', '3\n')
('1:55\n', '3\n')
('1:54\n', '3\n')
('1:53\n', '3\n')
