('7:58\n', '1\n')
('1:57\n', '1\n')
('7:56\n', '1\n')
('71:55\n', '1\n')
('7:54\n', '1\n')
('7:53\n', '1\n')
('7:19\n', '1\n')
('7:18\n', '1\n')
('1:17\n', '1\n')
('7:16\n', '1\n')
('1:15\n', '1\n')
('7:14\n', '1\n')
('4:59\n', '1\n')
('4:58\n', '1\n')
('4:57\n', '1\n')
('4:56\n', '1\n')
('4:55\n', '1\n')
('4:55\n', '1\n')
('4:55\n', '1\n')
('4:55\n', '1\n')
('1:51\n', '1\n')
('1:50\n', '1\n')
('1:49\n', '1\n')
('1:48\n', '1\n')
('1:47\n', '1\n')
('1:46\n', '1\n')
('9:04\n', '2\n')
('9:03\n', '2\n')
('9:02\n', '2\n')
('9:01\n', '2\n')
('8:54\n', '2\n')
('8:53\n', '2\n')
('2:31\n', '2\n')
('2:30\n', '2\n')
('2:29\n', '2\n')
('2:28\n', '2\n')
('2:27\n', '2\n')
('2:26\n', '2\n')
(':43.0\n', '2\n')
('142.0\n', '2\n')
('141.0\n', '2\n')
(':40.0\n', '2\n')
(':39.9\n', '2\n')
(':39.9\n', '2\n')
(':39.9\n', '2\n')
('11:09\n', '3\n')
('11:08\n', '3\n')
('11:07\n', '3\n')
('11:06\n', '3\n')
('11:05\n', '3\n')
('11:04\n', '3\n')
('11:01\n', '3\n')
('11:00\n', '3\n')
('10:59\n', '3\n')
('7:14\n', '3\n')
('7:13\n', '3\n')
('7:12\n', '3\n')
('71:11\n', '3\n')
('7:10\n', '3\n')
('7:09\n', '3\n')
('6:19\n', '3\n')
('6:18\n', '3\n')
('6:17\n', '3\n')
('6:16\n', '3\n')
('6:16\n', '3\n')
('6:15\n', '3\n')
('6:14\n', '3\n')
('4:15\n', '3\n')
('4:14\n', '3\n')
('4:13\n', '3\n')
('4:12\n', '3\n')
('4:11\n', '3\n')
('4:10\n', '3\n')
('4:09\n', '3\n')
('4:06\n', '3\n')
('4:05\n', '3\n')
('11:32\n', '4\n')
('11:31\n', '4\n')
('11:3\n', '4\n')
('11:26\n', '4\n')
('11:28\n', '4\n')
('11:21\n', '4\n')
('11:26\n', '4\n')
('11:23\n', '4\n')
('11:22\n', '4\n')
('11:21\n', '4\n')
('5:41\n', '4\n')
('5:40\n', '4\n')
('5:39\n', '4\n')
('5:38\n', '4\n')
('5:37\n', '4\n')
('5:36\n', '4\n')
('5:36\n', '4\n')
