('7:58\n', '1\n')
('7:57\n', '1\n')
('7:56\n', '1\n')
('7:55\n', '1\n')
('7:54\n', '1\n')
('7:53\n', '1\n')
('7:52\n', '1\n')
('7:51\n', '1\n')
('7:50\n', '1\n')
('7:48\n', '1\n')
('7:47\n', '1\n')
('4:21\n', '1\n')
('4:20\n', '1\n')
('4:19\n', '1\n')
('4:18\n', '1\n')
('4:17\n', '1\n')
('4:16\n', '1\n')
('4:16\n', '1\n')
('4:16\n', '1\n')
('3:38\n', '2\n')
('3:37\n', '2\n')
('3:36\n', '2\n')
('3:35\n', '2\n')
('3:34\n', '2\n')
('3:33\n', '2\n')
('3:32\n', '2\n')
('3:31\n', '2\n')
('3:30\n', '2\n')
('3:29\n', '2\n')
('1:42\n', '2\n')
('1:41\n', '2\n')
('1:40\n', '2\n')
('1:39\n', '2\n')
('1:38\n', '2\n')
('1:37\n', '2\n')
('1:36\n', '2\n')
('1:35\n', '2\n')
('1:34\n', '2\n')
('1:33\n', '2\n')
('1:32\n', '2\n')
('21.7\n', '2\n')
('20.7\n', '2\n')
('19.7\n', '2\n')
('18.7\n', '2\n')
('18.4\n', '2\n')
('18.1\n', '2\n')
('8:28\n', '3\n')
('8:27\n', '3\n')
('8:26\n', '3\n')
('8:25\n', '3\n')
('8:24\n', '3\n')
('8:23\n', '3\n')
('6:49\n', '3\n')
('6:48\n', '3\n')
('6:47\n', '3\n')
('6:46\n', '3\n')
('6:45\n', '3\n')
('6:44\n', '3\n')
('6:43\n', '3\n')
('5:55\n', '3\n')
('5:54\n', '3\n')
('5:53\n', '3\n')
('5:52\n', '3\n')
('5:51\n', '3\n')
('5:50\n', '3\n')
('5:49\n', '3\n')
('5:48\n', '3\n')
('5:47\n', '3\n')
('2:52\n', '3\n')
('2:51\n', '3\n')
('2:50\n', '3\n')
('2:49\n', '3\n')
('2:48\n', '3\n')
('2:47\n', '3\n')
('2:46\n', '3\n')
('2:45\n', '3\n')
('11:19\n', '4\n')
('11:18\n', '4\n')
('11:17\n', '4\n')
('11:16\n', '4\n')
('11:15\n', '4\n')
('11:14\n', '4\n')
('11:10\n', '4\n')
('11:09\n', '4\n')
('9:56\n', '4\n')
('9:55\n', '4\n')
('9:54\n', '4\n')
('9:53\n', '4\n')
('9:52\n', '4\n')
('9:52\n', '4\n')
('5:56\n', '4\n')
('5:56\n', '4\n')
('5:55\n', '4\n')
('5:54\n', '4\n')
('5:53\n', '4\n')
('5:23\n', '4\n')
('5:21\n', '4\n')
('5:20\n', '4\n')
('5:19\n', '4\n')
('5:19\n', '4\n')
('5:19\n', '4\n')
('5:19\n', '4\n')
('5:19\n', '4\n')
('5:19\n', '4\n')
('5:19\n', '4\n')
