('8:17\n', '111\n')
('8:16\n', '1\n')
('8:15\n', '1\n')
('8:14\n', '11\n')
('8:13\n', '11\n')
('8:12\n', '11\n')
('8:11\n', '1\n')
('8:10\n', '1\n')
('8:10\n', '1\n')
('8:10\n', '1\n')
('6:04\n', '11\n')
('6:03\n', '11\n')
('6:02\n', '11\n')
('5:57\n', '1\n')
('4:58\n', '1\n')
('4:57\n', '11\n')
('4:56\n', '11\n')
('4:55\n', '11\n')
('4:54\n', '1\n')
('4:53\n', '1\n')
('4:52\n', '1\n')
('4:51\n', '1\n')
('4:50\n', '1\n')
('4:49\n', '1\n')
('4:48\n', '1\n')
('4:47\n', '1\n')
('4:46\n', '1\n')
('4:46\n', '1\n')
('4:46\n', '1\n')
('10:1\n', '2\n')
('10:07\n', '41\n')
('10:06\n', '41\n')
('10:0\n', '2\n')
('10:04\n', '2\n')
('4:03\n', '2\n')
('4:02\n', '2\n')
('4:01\n', '2\n')
('4:00\n', '2\n')
('3:58\n', '2\n')
('3:57\n', '2\n')
('3:51\n', '2\n')
('2:12\n', '2\n')
('2:11\n', '2\n')
('2:10\n', '2\n')
('2:08\n', '2\n')
('2:07\n', '2\n')
('9:27\n', '3\n')
('9:24\n', '3\n')
('9:23\n', '3\n')
('9:22\n', '3\n')
('9:21\n', '3\n')
('2:01\n', '3\n')
('2:00\n', '3\n')
('1:58\n', '3\n')
('1:57\n', '3\n')
('1:55\n', '3\n')
('1:54\n', '3\n')
('1:53\n', '3\n')
('1:52\n', '3\n')
('1:50\n', '3\n')
('1:49\n', '3\n')
('7:51\n', '4\n')
('7:50\n', '4\n')
('7:49\n', '4\n')
('7:48\n', '4\n')
('7:47\n', '4\n')
('7:46\n', '4\n')
('7:45\n', '4\n')
('7:44\n', '4\n')
('7:43\n', '4\n')
('5:32\n', '4\n')
('5:31\n', '4\n')
('5:30\n', '4\n')
('5:29\n', '4\n')
('5:27\n', '4\n')
('4\n', '4\n')
('5:19\n', '4\n')
('1:57\n', '4\n')
('1:54\n', '4\n')
('1:53\n', '4\n')
('1:53\n', '4\n')
('1:53\n', '4\n')
('1:53\n', '4\n')
('1:53\n', '4\n')
('21.1\n', '4\n')
('20.1\n', '4\n')
('19.1\n', '4\n')
('18.1\n', '4\n')
('17.2\n', '4\n')
('16.5\n', '4\n')
('16.5\n', '4\n')
(':16\n', '41\n')
(':16\n', '41\n')
(':16\n', '41\n')
(':15\n', '41\n')
('14\n', '41\n')
(':13\n', '41\n')
('.\n', '41\n')
('11\n', '41\n')
('11\n', '41\n')
('11\n', '41\n')
('11\n', '41\n')
('11\n', '41\n')
(':11\n', '41\n')
(':11\n', '41\n')
('10\n', '41\n')
(':09\n', '41\n')
(':07\n', '41\n')
(':07\n', '41\n')
