('9:38\n', '1\n')
('9:37\n', '1\n')
('9:36\n', '1\n')
('9:35\n', '1\n')
('9:34\n', '1\n')
(':3\n', '1\n')
('7:12\n', '1\n')
('711\n', '1\n')
('7:10\n', '1\n')
('710\n', '1\n')
('7:09\n', '1\n')
('2:54\n', '1\n')
('2:53\n', '1\n')
('2:52\n', '1\n')
('251\n', '1\n')
('2:50\n', '1\n')
('2:49\n', '1\n')
('2:48\n', '1\n')
('10:15\n', '2\n')
('10:14\n', '2\n')
('10:13\n', '2\n')
('10:12\n', '2\n')
('10:11\n', '2\n')
('10:0\n', '2\n')
('10:01\n', '2\n')
('10:0\n', '2\n')
('9:59\n', '2\n')
('9.58\n', '2\n')
('9:57\n', '2\n')
('9:56\n', '2\n')
('9.55\n', '2\n')
('3.50\n', '2\n')
('3:49\n', '2\n')
('3:48\n', '2\n')
('3:47\n', '2\n')
('3:46\n', '2\n')
('3:45\n', '2\n')
('3:44\n', '2\n')
('37.7\n', '2\n')
(':36.7\n', '2\n')
('35.7\n', '2\n')
('34.7\n', '2\n')
('33.7\n', '2\n')
('33.3\n', '2\n')
('10:33\n', '3\n')
('10:32\n', '3\n')
('10:31\n', '3\n')
('10:3\n', '3\n')
('10:2\n', '3\n')
('10:2\n', '3\n')
('7:43\n', '3\n')
('7:42\n', '3\n')
('7:41\n', '3\n')
('7:40\n', '3\n')
('7:39\n', '3\n')
('7:38\n', '3\n')
('4:02\n', '3\n')
('4.01\n', '3\n')
('4.00\n', '3\n')
('3:59\n', '3\n')
('3:58\n', '3\n')
('3.57\n', '3\n')
('2:6\n', '3\n')
('21.6\n', '3\n')
('20.6\n', '3\n')
('19.6\n', '3\n')
('18.6\n', '3\n')
('179\n', '3\n')
('179\n', '3\n')
('179\n', '3\n')
('179\n', '3\n')
('179\n', '3\n')
('9:34\n', '4\n')
('9:33\n', '4\n')
('9:32\n', '4\n')
('9:31\n', '4\n')
('930\n', '4\n')
('7:37\n', '4\n')
('7:36\n', '4\n')
('7:35\n', '4\n')
('7:34\n', '4\n')
('7:33\n', '4\n')
('7:32\n', '4\n')
('7:31\n', '4\n')
('5:48\n', '4\n')
('5:47\n', '4\n')
('5:46\n', '4\n')
('5:45\n', '4\n')
('5:44\n', '4\n')
('543\n', '4\n')
('5:42\n', '4\n')
('541\n', '4\n')
('541\n', '4\n')
('541\n', '4\n')
