('7:16\n', '1\n')
('7:15\n', '1\n')
('1:14\n', '1\n')
('7:13\n', '1\n')
('7:12\n', '1\n')
('7:11\n', '1\n')
('5:24\n', '1\n')
('5:23\n', '1\n')
('1:10\n', '1\n')
('1:09\n', '1\n')
('1:09\n', '1\n')
('1:08\n', '1\n')
('1:07\n', '1\n')
('1:06\n', '1\n')
('1:04\n', '1\n')
('1:03\n', '1\n')
('9:26\n', '2\n')
('9:25\n', '2\n')
('9:24\n', '2\n')
('9:23\n', '2\n')
('9:22\n', '2\n')
('9:21\n', '2\n')
('8:30\n', '2\n')
('8:29\n', '2\n')
('8:28\n', '2\n')
('8:27\n', '2\n')
('8:26\n', '2\n')
('8:25\n', '2\n')
('2:25\n', '2\n')
('2:24\n', '2\n')
('2:23\n', '2\n')
('2:22\n', '2\n')
('2:21\n', '2\n')
('2:20\n', '2\n')
('2:19\n', '2\n')
('0:05\n', '2\n')
('0:04\n', '2\n')
('0:03\n', '2\n')
('0:02\n', '2\n')
('0:01\n', '2\n')
('0:00\n', '2\n')
('6:44\n', '3\n')
('6:43\n', '3\n')
('6:42\n', '3\n')
('6:41\n', '3\n')
('6:40\n', '3\n')
('6:39\n', '3\n')
('6:38\n', '3\n')
('6:38\n', '3\n')
('4:14\n', '3\n')
('4:13\n', '3\n')
('4:12\n', '3\n')
('4:11\n', '3\n')
('4:10\n', '3\n')
('4:09\n', '3\n')
('2:06\n', '3\n')
('2:05\n', '3\n')
('2:04\n', '3\n')
('2:03\n', '3\n')
('2:02\n', '3\n')
('2:01\n', '3\n')
('2:00\n', '3\n')
('1:56\n', '3\n')
('7:50\n', '4\n')
('7:49\n', '4\n')
('7:48\n', '4\n')
('1:47\n', '4\n')
('71:46\n', '4\n')
('1:45\n', '4\n')
('6:53\n', '4\n')
('6:52\n', '4\n')
('6:51\n', '4\n')
('6:50\n', '4\n')
('6:49\n', '4\n')
('6:48\n', '4\n')
('6:48\n', '4\n')
('6:48\n', '4\n')
('6:48\n', '4\n')
('5:15\n', '4\n')
('5:14\n', '4\n')
('5:13\n', '4\n')
('5:12\n', '4\n')
('5:11\n', '4\n')
('5:10\n', '4\n')
('5:10\n', '4\n')
('2:50\n', '4\n')
('2:49\n', '4\n')
('2:48\n', '4\n')
('2:47\n', '4\n')
('2:46\n', '4\n')
('2:45\n', '4\n')
('2:44\n', '4\n')
('1:52\n', '4\n')
('1:51\n', '4\n')
('1:50\n', '4\n')
('1:49\n', '4\n')
('1:48\n', '4\n')
('1:48\n', '4\n')
('1:11\n', '4\n')
('1:10\n', '4\n')
('1:09\n', '4\n')
('1:08\n', '4\n')
('1:07\n', '4\n')
('1:06\n', '4\n')
('1:06\n', '4\n')
('1:06\n', '4\n')
('1:06\n', '4\n')
('1:06\n', '4\n')
('1:06\n', '4\n')
('1:06\n', '4\n')
