('9:48\n', '1\n')
('9:47\n', '1\n')
('9:46\n', '1\n')
('9:45\n', '1\n')
('9:44\n', '1\n')
('9:43\n', '1\n')
('8:47\n', '1\n')
('8:46\n', '1\n')
('8:45\n', '1\n')
('8:44\n', '1\n')
('8:43\n', '1\n')
('8:42\n', '1\n')
('8:41\n', '1\n')
('8:40\n', '1\n')
('8:39\n', '1\n')
('5:41\n', '1\n')
('5:40\n', '1\n')
('5:39\n', '1\n')
('5:38\n', '1\n')
('5:37\n', '1\n')
('5:36\n', '1\n')
('5:36\n', '1\n')
('5:36\n', '1\n')
('2:08\n', '1\n')
('2:07\n', '1\n')
('2:06\n', '1\n')
('2:05\n', '1\n')
('2:04\n', '1\n')
('2:03\n', '1\n')
('2:01\n', '1\n')
('2:00\n', '1\n')
('7:58\n', '2\n')
('1:57\n', '2\n')
('7:56\n', '2\n')
('7:55\n', '2\n')
('71:54\n', '2\n')
('7:53\n', '2\n')
('71:52\n', '2\n')
('7:31\n', '2\n')
('5:32\n', '2\n')
('5:31\n', '2\n')
('5:30\n', '2\n')
('5:29\n', '2\n')
('5:28\n', '2\n')
('5:27\n', '2\n')
('1:51\n', '2\n')
('1:50\n', '2\n')
('1:49\n', '2\n')
('1:48\n', '2\n')
('1:47\n', '2\n')
('1:46\n', '2\n')
('1:45\n', '2\n')
('1:06\n', '2\n')
('1:05\n', '2\n')
('1:04\n', '2\n')
('1:03\n', '2\n')
('1:02\n', '2\n')
('1:01\n', '2\n')
('1:00\n', '2\n')
('1:00\n', '2\n')
('8:10\n', '3\n')
('8:07\n', '3\n')
('8:05\n', '3\n')
('7:16\n', '3\n')
('7:15\n', '3\n')
('7:14\n', '3\n')
('7:13\n', '3\n')
('7:12\n', '3\n')
('7:11\n', '3\n')
('7:10\n', '3\n')
('7:09\n', '3\n')
('7:08\n', '3\n')
('7:07\n', '3\n')
('5:14\n', '3\n')
('5:13\n', '3\n')
('5:12\n', '3\n')
('5:11\n', '3\n')
('5:10\n', '3\n')
('5:09\n', '3\n')
('5:08\n', '3\n')
('5:06\n', '3\n')
('5:05\n', '3\n')
('2:14\n', '3\n')
('2:13\n', '3\n')
('2:12\n', '3\n')
('2:11\n', '3\n')
('2:10\n', '3\n')
('2:09\n', '3\n')
('2:08\n', '3\n')
('2:07\n', '3\n')
('2:03\n', '3\n')
('2:02\n', '3\n')
('07.9\n', '3\n')
('05.0\n', '3\n')
('04.6\n', '3\n')
(':04.6\n', '3\n')
(':04.6\n', '3\n')
(':04.6\n', '3\n')
(':04.6\n', '3\n')
('10:21\n', '4\n')
('10:2\n', '4\n')
('10:16\n', '4\n')
('10:1\n', '4\n')
('10:11\n', '4\n')
('10:16\n', '4\n')
('10:16\n', '4\n')
('10:1\n', '4\n')
('9:46\n', '4\n')
('9:45\n', '4\n')
('9:44\n', '4\n')
('9:43\n', '4\n')
('9:42\n', '4\n')
('9:41\n', '4\n')
('9:40\n', '4\n')
('9:39\n', '4\n')
('9:38\n', '4\n')
('4:59\n', '4\n')
('4:58\n', '4\n')
('4:57\n', '4\n')
('4:56\n', '4\n')
('4:55\n', '4\n')
('4:54\n', '4\n')
('4:53\n', '4\n')
('4:50\n', '4\n')
('4:49\n', '4\n')
('4:35\n', '4\n')
('4:34\n', '4\n')
('4:33\n', '4\n')
('4:32\n', '4\n')
('4:31\n', '4\n')
('4:30\n', '4\n')
('4:29\n', '4\n')
('4:28\n', '4\n')
('8:27\n', '4\n')
('3:51\n', '4\n')
('3:50\n', '4\n')
('3:49\n', '4\n')
('3:48\n', '4\n')
('3:47\n', '4\n')
('3:44\n', '4\n')
('3:43\n', '4\n')
('3:42\n', '4\n')
(':49.2\n', '4\n')
(':48.6\n', '4\n')
('47.6\n', '4\n')
('46.7\n', '4\n')
('45.7\n', '4\n')
('44.7\n', '4\n')
('44.6\n', '4\n')
('26.1\n', '4\n')
('25.1\n', '4\n')
('24.1\n', '4\n')
('23.1\n', '4\n')
('22.1\n', '4\n')
('21.1\n', '4\n')
('21.0\n', '4\n')
(':21\n', '4\n')
(':21\n', '41\n')
(':21\n', '41\n')
