('1:22\n', '1\n')
('1:21\n', '1\n')
('1:20\n', '1\n')
('1:19\n', '1\n')
('1:18\n', '1\n')
('1:06\n', '1\n')
('1:05\n', '1\n')
('1:04\n', '1\n')
('1:03\n', '1\n')
('1:02\n', '1\n')
('1:01\n', '1\n')
('1:01\n', '1\n')
('2:04\n', '2\n')
('2:03\n', '2\n')
('2:03\n', '2\n')
('2:02\n', '2\n')
('2:01\n', '2\n')
('2:00\n', '2\n')
('8:21\n', '3\n')
('8:20\n', '3\n')
('8:19\n', '3\n')
('8:18\n', '3\n')
('8:17\n', '3\n')
('8:16\n', '3\n')
('8:15\n', '3\n')
('8:14\n', '3\n')
('8:13\n', '3\n')
('6:35\n', '3\n')
('6:34\n', '3\n')
('6:33\n', '3\n')
('6:32\n', '3\n')
('6:31\n', '3\n')
('6:30\n', '3\n')
('6:39\n', '3\n')
('5:33\n', '3\n')
('5:32\n', '3\n')
('5:31\n', '3\n')
('5:30\n', '3\n')
('5:30\n', '3\n')
('5:29\n', '3\n')
('5:28\n', '3\n')
('5:27\n', '3\n')
('5:25\n', '3\n')
('5:24\n', '3\n')
('4:33\n', '3\n')
('4:33\n', '3\n')
('4:33\n', '3\n')
('4:32\n', '3\n')
('4:31\n', '3\n')
('4:30\n', '3\n')
('1:44\n', '3\n')
('1:43\n', '3\n')
('1:42\n', '3\n')
('1:41\n', '3\n')
('1:40\n', '3\n')
('1:39\n', '3\n')
('1235\n', '3\n')
('1:20\n', '3\n')
('1:19\n', '3\n')
('1:18\n', '3\n')
('1:17\n', '3\n')
('1:16\n', '3\n')
('1:15\n', '3\n')
('7:52\n', '4\n')
('7:51\n', '41\n')
('7:50\n', '41\n')
('7:49\n', '41\n')
('7:48\n', '41\n')
('1:47\n', '41\n')
('7:46\n', '41\n')
('7:44\n', '4\n')
('7:44\n', '41\n')
('3:59\n', '41\n')
('3:58\n', '41\n')
('3:57\n', '41\n')
('3:56\n', '41\n')
('3:55\n', '41\n')
('3:54\n', '41\n')
('3:53\n', '41\n')
('1:13\n', '41\n')
('1:12\n', '41\n')
('1:11\n', '41\n')
('1:10\n', '41\n')
('1:09\n', '41\n')
('1:08\n', '41\n')
('1:08\n', '41\n')
('47.7\n', '41\n')
(':46.8\n', '41\n')
(':45.8\n', '41\n')
('44.8\n', '41\n')
(':43.8\n', '41\n')
('42.8\n', '41\n')
('242.3\n', '41\n')
('4253\n', '4\n')
('42531\n', '41\n')
