('.\n', '2\n')
('10:56\n', '1\n')
('10:55\n', '11\n')
('10:54\n', '11\n')
('10:53\n', '11\n')
('10:52\n', '11\n')
('10:51\n', '1\n')
('10:50\n', '1\n')
('8:45\n', '1\n')
('8:44\n', '1\n')
('8:43\n', '11\n')
('8:42\n', '11\n')
('8:41\n', '11\n')
('8:40\n', '11\n')
('8:39\n', '11\n')
('8:38\n', '11\n')
('4:45\n', '11\n')
('4:44\n', '1\n')
('4:43\n', '1\n')
('4:42\n', '1\n')
('4:41\n', '1\n')
('4:40\n', '1\n')
('4:37\n', '11\n')
('4:36\n', '11\n')
('8:58\n', '2\n')
('8:57\n', '2\n')
('8:56\n', '2\n')
('8:55\n', '2\n')
('8:54\n', '2\n')
('8:53\n', '2\n')
('8:52\n', '2\n')
('4:53\n', '2\n')
('4:52\n', '2\n')
('4:51\n', '2\n')
('4:50\n', '2\n')
('4:49\n', '2\n')
('4:48\n', '2\n')
('4:45\n', '2\n')
('4:44\n', '2\n')
('1:18\n', '2\n')
('1:17\n', '2\n')
('1:16\n', '2\n')
('1:15\n', '2\n')
('1:14\n', '2\n')
('1:13\n', '2\n')
('1:12\n', '2\n')
('1:11\n', '2\n')
('34.9\n', '2\n')
('33.9\n', '2\n')
('32.9\n', '2\n')
('31.9\n', '2\n')
('30.9\n', '2\n')
(':30.0\n', '2\n')
('29.7\n', '2\n')
('29.7\n', '2\n')
('29.7\n', '2\n')
(':29.7\n', '2\n')
('11:52\n', '3\n')
('11:51\n', '3\n')
('11:50\n', '3\n')
('11:49\n', '3\n')
('11:48\n', '3\n')
('11:47\n', '3\n')
('11:46\n', '3\n')
('11:46\n', '3\n')
('11:46\n', '3\n')
('11:46\n', '3\n')
('11:46\n', '3\n')
('11:46\n', '3\n')
('11:46\n', '3\n')
('11:46\n', '3\n')
('11:46\n', '3\n')
('11:46\n', '3\n')
('11:46\n', '3\n')
('11:46\n', '3\n')
('11:46\n', '3\n')
('11:46\n', '3\n')
('11:46\n', '3\n')
('11:46\n', '3\n')
('10:32\n', '3\n')
('10:31\n', '3\n')
('10:30\n', '3\n')
('10:29\n', '3\n')
('10:28\n', '3\n')
('10:28\n', '3\n')
('10:27\n', '3\n')
('10:26\n', '3\n')
('10:25\n', '3\n')
('7:46\n', '3\n')
('7:45\n', '3\n')
('7:44\n', '3\n')
('7:43\n', '3\n')
('7:42\n', '3\n')
('4:00\n', '3\n')
('3:59\n', '3\n')
('3:58\n', '3\n')
('3:57\n', '3\n')
('3:56\n', '3\n')
('3:55\n', '3\n')
('3:54\n', '3\n')
('3:53\n', '3\n')
('3:52\n', '3\n')
('5:23\n', '414\n')
('5:22\n', '414\n')
('5:21\n', '414\n')
('5:21\n', '414\n')
('5:21\n', '414\n')
('5:21\n', '4\n')
('5:21\n', '41\n')
('5:21\n', '414\n')
