('5:43\n', '1\n')
('5:42\n', '1\n')
('5:41\n', '1\n')
('5:41\n', '1\n')
('5:41\n', '1\n')
('5:41\n', '1\n')
('5:41\n', '1\n')
('3:41\n', '1\n')
('3:40\n', '1\n')
('3:39\n', '1\n')
('3:38\n', '1\n')
('3:37\n', '1\n')
('1:40\n', '1\n')
('1:39\n', '1\n')
('1:38\n', '1\n')
('1:37\n', '1\n')
('1:36\n', '1\n')
('11:33\n', '2\n')
('11:32\n', '2\n')
('11:31\n', '2\n')
('11:30\n', '2\n')
('11:30\n', '2\n')
('11:29\n', '2\n')
('6:35\n', '2\n')
('6:34\n', '2\n')
('6:33\n', '2\n')
('6:32\n', '2\n')
('6:31\n', '2\n')
('6:30\n', '2\n')
('6:29\n', '2\n')
('4:40\n', '2\n')
('4:39\n', '2\n')
('4:38\n', '2\n')
('4:37\n', '2\n')
('4:36\n', '2\n')
('4:35\n', '2\n')
('1:53\n', '2\n')
('1:52\n', '2\n')
('1:51\n', '2\n')
('1:50\n', '2\n')
('1:49\n', '2\n')
('1:48\n', '2\n')
('1:44\n', '2\n')
('1:43\n', '2\n')
('9:11\n', '3\n')
('9:10\n', '3\n')
('9:07\n', '3\n')
('9:06\n', '3\n')
('9:05\n', '3\n')
('9:02\n', '3\n')
('8:10\n', '3\n')
('8:07\n', '3\n')
('8:06\n', '3\n')
('6:37\n', '3\n')
('6:36\n', '3\n')
('6:35\n', '3\n')
('6:34\n', '3\n')
('6:34\n', '3\n')
('6:33\n', '3\n')
('5:59\n', '3\n')
('5:58\n', '3\n')
('5:57\n', '3\n')
('5:56\n', '3\n')
('2:27\n', '3\n')
('2:26\n', '3\n')
('2:25\n', '3\n')
('2:24\n', '3\n')
('2:23\n', '3\n')
('2:22\n', '3\n')
('1:42\n', '3\n')
('1:41\n', '3\n')
('1:40\n', '3\n')
('1:39\n', '3\n')
('1:38\n', '3\n')
('5:54\n', '3\n')
('5:53\n', '3\n')
('5:38\n', '4\n')
('5:37\n', '4\n')
('5:36\n', '4\n')
('5:35\n', '4\n')
('5:34\n', '4\n')
('5:33\n', '4\n')
('3:03\n', '4\n')
('3:02\n', '4\n')
('3:01\n', '4\n')
('3:00\n', '4\n')
('3:00\n', '4\n')
('3:00\n', '4\n')
