('9:13\n', '1\n')
('9:12\n', '1\n')
('9:11\n', '1\n')
('9:10\n', '1\n')
('9:09\n', '1\n')
('9:08\n', '1\n')
('9:07\n', '1\n')
('9:05\n', '1\n')
('9:04\n', '1\n')
('6:04\n', '1\n')
('6:03\n', '1\n')
('6:02\n', '1\n')
('6:01\n', '1\n')
('6:00\n', '1\n')
('5:59\n', '1\n')
('555\n', '1\n')
('5:54\n', '1\n')
('4:39\n', '1\n')
('4:38\n', '1\n')
('4:37\n', '1\n')
('4:36\n', '1\n')
('4:35\n', '1\n')
('4:34\n', '1\n')
('4:33\n', '1\n')
('4:32\n', '1\n')
('4:2\n', '1\n')
('4:28\n', '1\n')
('4:27\n', '1\n')
('2:50\n', '1\n')
('2:49\n', '1\n')
('2:48\n', '1\n')
('2:47\n', '1\n')
('2:46\n', '1\n')
('2:45\n', '1\n')
('2:44\n', '1\n')
('2:43\n', '1\n')
('4:54\n', '2\n')
('4:53\n', '2\n')
('4:52\n', '2\n')
('4.51\n', '2\n')
('4:50\n', '2\n')
('4:49\n', '2\n')
('4:48\n', '2\n')
('4:47\n', '2\n')
('2:47\n', '2\n')
('2:46\n', '2\n')
('2:45\n', '2\n')
('2:44\n', '2\n')
('2:43\n', '2\n')
('2:42\n', '2\n')
('2:40\n', '2\n')
('2:39\n', '2\n')
('29.0\n', '2\n')
('28.0\n', '2\n')
('27.1\n', '2\n')
('26.1\n', '2\n')
('25.1\n', '2\n')
('24.1\n', '2\n')
('23.4\n', '2\n')
('5:21\n', '3\n')
('5:20\n', '3\n')
('5:19\n', '3\n')
('5:18\n', '3\n')
('5:17\n', '3\n')
('5:16\n', '3\n')
('5:13\n', '3\n')
('5:12\n', '3\n')
('2:58\n', '3\n')
('2:57\n', '3\n')
('2.56\n', '3\n')
('2:55\n', '3\n')
('2:54\n', '3\n')
('2:53\n', '3\n')
('2:49\n', '3\n')
('2:48\n', '3\n')
('11:27\n', '4\n')
('11:2\n', '4\n')
('11:25\n', '4\n')
('11:24\n', '4\n')
('11:23\n', '4\n')
('11:22\n', '4\n')
('9:37\n', '4\n')
('9:36\n', '4\n')
('9:35\n', '4\n')
('9:34\n', '4\n')
('9:33\n', '4\n')
('9:32\n', '4\n')
('6:02\n', '4\n')
('6:01\n', '4\n')
('6:00\n', '4\n')
('6:00\n', '4\n')
('5:59\n', '4\n')
('5:58\n', '4\n')
('557\n', '4\n')
('4:21\n', '4\n')
('4.20\n', '4\n')
('4:19\n', '4\n')
('4:18\n', '4\n')
('4:17\n', '4\n')
('4:16\n', '4\n')
('4:15\n', '4\n')
('4:15\n', '4\n')
('1:18\n', '4\n')
('1:17\n', '4\n')
('1:16\n', '4\n')
('1:15\n', '4\n')
('1:14\n', '4\n')
('1:13\n', '4\n')
('1:13\n', '4\n')
('1:13\n', '4\n')
('1:13\n', '4\n')
('1:07\n', '4\n')
('1:06\n', '4\n')
('1:05\n', '4\n')
('1:04\n', '4\n')
('1:03\n', '4\n')
('1:02\n', '4\n')
('1:01\n', '4\n')
('20.5\n', '4\n')
('20.5\n', '4\n')
('049\n', '4\n')
('04.9\n', '4\n')
('049\n', '4\n')
('04.9\n', '4\n')
('04.9\n', '4\n')
('04.9\n', '4\n')
(':03.9\n', '4\n')
('02.9\n', '4\n')
(':02.0\n', '4\n')
('01.0\n', '4\n')
