('9:20\n', 'FIRST QUARTER\n')
('9:19\n', 'FIRST QUARTER\n')
('9:18\n', 'FIRST QUARTER\n')
('9:17\n', 'FIRST QUARTER\n')
('9:16\n', 'FIRST QUARTER\n')
('9:15\n', 'FIRST QUARTER\n')
('9:14\n', 'FIRST QUARTER\n')
('4:53\n', 'FIRST QUARTER\n')
('4:52\n', 'FIRST QUARTER\n')
('4:51\n', 'FIRST QUARTER\n')
('4:50\n', 'FIRST QUARTER\n')
('3:19\n', 'FIRST QUARTER\n')
('3:18\n', 'FIRST QUARTER\n')
('3:17\n', 'FIRST QUARTER\n')
('3:16\n', 'FIRST QUARTER\n')
('3:15\n', 'FIRST QUARTER\n')
('3:14\n', 'FIRST QUARTER\n')
('8:27\n', 'SECOND QUARTER\n')
('8:26\n', 'SECOND QUARTER\n')
('8:25\n', 'SECOND QUARTER\n')
('8:24\n', 'SECOND QUARTER\n')
('8:23\n', 'SECOND QUARTER\n')
('8:22\n', 'SECOND QUARTER\n')
('7:22\n', 'SECOND QUARTER\n')
('7:21\n', 'SECOND QUARTER\n')
('7:20\n', 'SECOND QUARTER\n')
('7:19\n', 'SECOND QUARTER\n')
('7:18\n', 'SECOND QUARTER\n')
('6:00\n', 'SECOND QUARTER\n')
('5:59\n', 'SECOND QUARTER\n')
('5:58\n', 'SECOND QUARTER\n')
('5:57\n', 'SECOND QUARTER\n')
('5:56\n', 'SECOND QUARTER\n')
('5:55\n', 'SECOND QUARTER\n')
('5:54\n', 'SECOND QUARTER\n')
('5:53\n', 'SECOND QUARTER\n')
('4:87\n', 'SECOND QUARTER\n')
('4:26\n', 'SECOND QUARTER\n')
('4:26\n', 'SECOND QUARTER\n')
('4.25\n', 'SECOND QUARTER\n')
('4.24\n', 'SECOND QUARTER\n')
('4:23\n', 'SECOND QUARTER\n')
('4.22\n', 'SECOND QUARTER\n')
('4.21\n', 'SECOND QUARTER\n')
('4:20\n', 'SECOND QUARTER\n')
('4:19\n', 'SECOND QUARTER\n')
('4:18\n', 'SECOND QUARTER\n')
('4:17\n', 'SECOND QUARTER\n')
('1:52\n', 'SECOND QUARTER\n')
('1:51\n', 'SECOND QUARTER\n')
('1:50\n', 'SECOND QUARTER\n')
('1:49\n', 'SECOND QUARTER\n')
('1:48\n', 'SECOND QUARTER\n')
('1:47\n', 'SECOND QUARTER\n')
('33.8\n', 'SECOND QUARTER\n')
('32.8\n', 'SECOND QUARTER\n')
('31.8\n', 'SECOND QUARTER\n')
('30.8\n', 'SECOND QUARTER\n')
