('1:28\n', '1\n')
('1:27\n', '1\n')
('1:26\n', '1\n')
('1:25\n', '1\n')
('1:25\n', '1\n')
('1.25\n', '1\n')
('51.6\n', '1\n')
('50.6\n', '1\n')
('49.6\n', '1\n')
('48.9\n', '1\n')
('48.9\n', '1\n')
('06.4\n', '1\n')
('05.4\n', '1\n')
('04.4\n', '1\n')
('03.4\n', '1\n')
('02.4\n', '1\n')
('02.0\n', '1\n')
('02.0\n', '1\n')
('02.0\n', '1\n')
('01.8\n', '1\n')
(':00.8\n', '1\n')
(':00.0\n', '1\n')
('00.0\n', '1\n')
('10:14\n', '2\n')
('10:13\n', '2\n')
('10:12\n', '2\n')
('10:11\n', '2\n')
('10:10\n', '2\n')
('10:09\n', '2\n')
('10:08\n', '2\n')
('6:25\n', '2\n')
('6:24\n', '2\n')
('6:23\n', '2\n')
('6:22\n', '2\n')
('6:21\n', '2\n')
('6:20\n', '2\n')
('4:25\n', '2\n')
('4:24\n', '2\n')
('4:23\n', '2\n')
('4:22\n', '2\n')
('4:21\n', '2\n')
('4:20\n', '2\n')
('2:39\n', '2\n')
('2:37\n', '2\n')
('2:37\n', '2\n')
('2:36\n', '2\n')
('2:35\n', '2\n')
('2:34\n', '2\n')
('2:33\n', '2\n')
('2:32\n', '2\n')
('2:31\n', '2\n')
('9:47\n', '3\n')
('9:46\n', '3\n')
('9:45\n', '3\n')
('9:44\n', '3\n')
('9:43\n', '3\n')
('9:42\n', '3\n')
('9:41\n', '3\n')
('9:40\n', '3\n')
('9:40\n', '3\n')
('9:40\n', '3\n')
('6:45\n', '3\n')
('6:44\n', '3\n')
('6:43\n', '3\n')
('6:42\n', '3\n')
('6:41\n', '3\n')
('6:40\n', '3\n')
('6:39\n', '3\n')
('2:42\n', '3\n')
('2:41\n', '3\n')
('2:40\n', '3\n')
('2:39\n', '3\n')
('2:38\n', '3\n')
('2:37\n', '3\n')
('2:36\n', '3\n')
('2:35\n', '3\n')
('2:34\n', '3\n')
('2:33\n', '3\n')
('9:53\n', '4\n')
('9:52\n', '4\n')
('9:51\n', '4\n')
('9:50\n', '4\n')
('9:49\n', '4\n')
('9:48\n', '4\n')
('9:48\n', '4\n')
('9:48\n', '4\n')
