('7:50\n', '1\n')
('7:49\n', '1\n')
('7:48\n', '1\n')
('1:47\n', '1\n')
('7:46\n', '1\n')
('7:45\n', '1\n')
('7:45\n', '1\n')
('7:45\n', '1\n')
('7:45\n', '1\n')
('5:35\n', '1\n')
('5:34\n', '1\n')
('5:33\n', '1\n')
('5:32\n', '1\n')
('5:31\n', '1\n')
('5:30\n', '1\n')
('5:29\n', '1\n')
('5:28\n', '1\n')
('5:27\n', '1\n')
('5:26\n', '1\n')
('5:25\n', '1\n')
('2:28\n', '1\n')
('2:28\n', '1\n')
('2:28\n', '1\n')
('2:28\n', '1\n')
('2:08\n', '1\n')
('2:08\n', '1\n')
('2:07\n', '1\n')
('2:06\n', '1\n')
('2:05\n', '1\n')
('2:04\n', '1\n')
('2:03\n', '1\n')
('2:02\n', '1\n')
('2:01\n', '1\n')
('2:00\n', '1\n')
('7:47\n', '2\n')
('7:46\n', '2\n')
('7:45\n', '2\n')
('7:44\n', '2\n')
('7:43\n', '2\n')
('7:42\n', '2\n')
('7:41\n', '2\n')
('4:36\n', '2\n')
('4:35\n', '2\n')
('4:34\n', '2\n')
('4:33\n', '2\n')
('4:32\n', '2\n')
('4:31\n', '2\n')
('4:30\n', '2\n')
(':05\n', '2\n')
(':04\n', '2\n')
(':03\n', '2\n')
(':02\n', '2\n')
(':02\n', '2\n')
(':01\n', '2\n')
(':00\n', '2\n')
(':00\n', '2\n')
('9:36\n', '3\n')
('9:35\n', '3\n')
('9:34\n', '3\n')
('9:33\n', '3\n')
('9:32\n', '3\n')
('9:31\n', '3\n')
('9:07\n', '3\n')
('9:05\n', '3\n')
('9:04\n', '3\n')
('9:03\n', '3\n')
('9:02\n', '3\n')
('3:17\n', '3\n')
('3:16\n', '3\n')
('3:15\n', '3\n')
('3:14\n', '3\n')
('3:13\n', '3\n')
('3:12\n', '3\n')
('3:11\n', '3\n')
('3:10\n', '3\n')
('11:01\n', '4\n')
('11:00\n', '4\n')
('10:59\n', '4\n')
('10:58\n', '4\n')
('10:57\n', '4\n')
('10:57\n', '4\n')
('10:57\n', '4\n')
('10:57\n', '4\n')
('7:08\n', '4\n')
('7:07\n', '4\n')
('7:06\n', '4\n')
('7:05\n', '4\n')
('7:04\n', '4\n')
('7:03\n', '4\n')
('7:02\n', '4\n')
('7:02\n', '4\n')
