('5:56\n', '1\n')
('5:55\n', '11\n')
('5:54\n', '1\n')
('5:53\n', '11\n')
('5:53\n', '1\n')
('5:52\n', '1\n')
('5:48\n', '11\n')
('5:47\n', '1\n')
('4:22\n', '11\n')
('4:21\n', '11\n')
('4:20\n', '11\n')
('4:19\n', '1\n')
('4:18\n', '1\n')
('4:17\n', '11\n')
(':35.4\n', '1\n')
(':34.4\n', '1\n')
(':33.4\n', '11\n')
(':32.4\n', '1\n')
(':31.5\n', '1\n')
(':31.3\n', '1\n')
(':31.3\n', '1\n')
(':07.8\n', '11\n')
(':06.8\n', '11\n')
(':05.8\n', '1\n')
('04.8\n', '11\n')
(':03.8\n', '1\n')
(':02.9\n', '1\n')
('01.9\n', '11\n')
(':01.0\n', '1\n')
(':01.0\n', '1\n')
('10:15\n', '2\n')
('10:14\n', '2\n')
('10:13\n', '2\n')
('10:12\n', '2\n')
('10:11\n', '2\n')
('10:08\n', '2\n')
('10:07\n', '2\n')
('4:51\n', '2\n')
('4:50\n', '2\n')
('4:49\n', '2\n')
('4:48\n', '2\n')
('4:47\n', '2\n')
('4:46\n', '2\n')
('4:45\n', '2\n')
('4:44\n', '2\n')
('31.3\n', '2\n')
(':30.3\n', '2\n')
('129.3\n', '2\n')
(':28.3\n', '2\n')
('27.3\n', '2\n')
(':26.3\n', '2\n')
(':25.4\n', '2\n')
(':24.5\n', '2\n')
(':24.5\n', '2\n')
('119.8\n', '2\n')
(':18.8\n', '2\n')
('11:45\n', '3\n')
('11:44\n', '3\n')
('11:43\n', '3\n')
('11:42\n', '3\n')
('11:41\n', '3\n')
('11:40\n', '3\n')
('11:39\n', '3\n')
('11:38\n', '3\n')
('5:36\n', '3\n')
('5:35\n', '3\n')
('5:34\n', '3\n')
('5:33\n', '3\n')
('5:32\n', '3\n')
('5:31\n', '3\n')
('2:09\n', '3\n')
('9:44\n', '4\n')
('9:43\n', '4\n')
('9:42\n', '4\n')
('9:41\n', '4\n')
('9:40\n', '4\n')
('9:39\n', '4\n')
('7:24\n', '4\n')
('7:23\n', '4\n')
('7:22\n', '4\n')
('7:21\n', '4\n')
('7:20\n', '4\n')
('7:19\n', '4\n')
('7:18\n', '4\n')
('7:15\n', '4\n')
('7:14\n', '4\n')
('4:09\n', '4\n')
('4:08\n', '4\n')
('4:07\n', '4\n')
('4:06\n', '4\n')
('4:05\n', '4\n')
('4:04\n', '4\n')
('1:44\n', '4\n')
('1:43\n', '4\n')
('1:42\n', '4\n')
('1:41\n', '41\n')
('1:40\n', '4\n')
('1:39\n', '4\n')
('1:38\n', '4\n')
