('8:30\n', '1\n')
('8:29\n', '1\n')
('8:28\n', '1\n')
('8:27\n', '1\n')
('8:24\n', '1\n')
('8:23\n', '1\n')
('8:22\n', '1\n')
('1:44\n', '1\n')
('1:43\n', '1\n')
('1:42\n', '1\n')
('1:41\n', '1\n')
('1:40\n', '1\n')
('1:39\n', '1\n')
('8:28\n', '2\n')
('8:27\n', '2\n')
('8:26\n', '2\n')
('8:25\n', '2\n')
('8:24\n', '2\n')
('6:40\n', '2\n')
('6:39\n', '2\n')
('6:38\n', '2\n')
('6:37\n', '2\n')
('6:37\n', '2\n')
('4\n', '2\n')
('6:37\n', '2\n')
('6:37\n', '2\n')
('5:28\n', '2\n')
('14\n', '2\n')
('5:26\n', '2\n')
('5:25\n', '2\n')
('5:24\n', '2\n')
('5:23\n', '2\n')
('40.7\n', '2\n')
('39.7\n', '2\n')
('38.7\n', '2\n')
('37.7\n', '2\n')
('36.7\n', '2\n')
('36.7\n', '2\n')
(':\n', '3\n')
('8:04\n', '3\n')
('8:03\n', '3\n')
('8:02\n', '3\n')
('8:01\n', '3\n')
('8:00\n', '3\n')
('7:59\n', '3\n')
('7:58\n', '3\n')
('2:57\n', '3\n')
('7:56\n', '3\n')
('4:46\n', '3\n')
('4:45\n', '3\n')
('4:44\n', '3\n')
('4:43\n', '3\n')
('4:43\n', '3\n')
('4:43\n', '3\n')
('1:54\n', '3\n')
('1:53\n', '3\n')
('1:52\n', '3\n')
('1:51\n', '3\n')
('1:50\n', '3\n')
('1:49\n', '3\n')
('1:48\n', '3\n')
('1:47\n', '3\n')
('1:46\n', '3\n')
('1:45\n', '3\n')
('1:44\n', '3\n')
('1:43\n', '3\n')
('3:42\n', '4\n')
('3:41\n', '4\n')
('3:40\n', '4\n')
('3:39\n', '4\n')
('3:38\n', '4\n')
('54\n', '4\n')
('3:36\n', '4\n')
('2:59\n', '4\n')
('2:58\n', '4\n')
('2:57\n', '4\n')
('2:56\n', '4\n')
('2:55\n', '4\n')
('2:54\n', '4\n')
('2:53\n', '4\n')
('2:40\n', '4\n')
('2:39\n', '4\n')
('2:38\n', '4\n')
('4\n', '4\n')
('1\n', '4\n')
('2:35\n', '4\n')
