('4:50\n', '1\n')
('4:49\n', '11\n')
('4:48\n', '1\n')
('4:47\n', '1\n')
('4:46\n', '1\n')
('3:08\n', '1\n')
('3:07\n', '11\n')
('3:06\n', '11\n')
('3:05\n', '1\n')
('3:04\n', '11\n')
('29.8\n', '11\n')
('28.8\n', '1\n')
('27.8\n', '1\n')
(':26.9\n', '11\n')
('125.9\n', '1\n')
('25.0\n', '1\n')
('24.7\n', '1\n')
('23.8\n', '1\n')
('10:39\n', '2\n')
('10:38\n', '2\n')
('10:37\n', '2\n')
('10:36\n', '2\n')
('10:35\n', '2\n')
('10:34\n', '2\n')
('9:19\n', '2\n')
('9:18\n', '2\n')
('9:18\n', '2\n')
('9:17\n', '2\n')
('9:16\n', '2\n')
('9:15\n', '2\n')
('9:12\n', '2\n')
('9:12\n', '2\n')
('7:18\n', '2\n')
('71:17\n', '2\n')
('71:17\n', '2\n')
('7:16\n', '2\n')
('7:15\n', '2\n')
('7:14\n', '2\n')
('7:13\n', '2\n')
('2:50\n', '2\n')
('2:49\n', '2\n')
('2:48\n', '2\n')
('2:47\n', '2\n')
('2:46\n', '2\n')
('2:43\n', '2\n')
('2:42\n', '2\n')
('8:55\n', '3\n')
('8:54\n', '3\n')
('8:53\n', '3\n')
('8:52\n', '3\n')
('8:51\n', '3\n')
('7:40\n', '3\n')
('7:39\n', '3\n')
('7:38\n', '3\n')
('71:37\n', '3\n')
('7:36\n', '3\n')
('7:35\n', '3\n')
('6:13\n', '3\n')
('6:12\n', '3\n')
('6:11\n', '3\n')
('6:10\n', '3\n')
('8:35\n', '4\n')
('8:34\n', '4\n')
('8:33\n', '4\n')
('8:32\n', '4\n')
('8:31\n', '4\n')
('8:30\n', '4\n')
('8:29\n', '4\n')
('4:10\n', '4\n')
('4:09\n', '4\n')
('4:08\n', '4\n')
('4:07\n', '4\n')
('4:06\n', '4\n')
('4:00\n', '4\n')
('3:59\n', '4\n')
('3:58\n', '4\n')
('2:06\n', '4\n')
('2:05\n', '4\n')
('2:04\n', '4\n')
('2:03\n', '4\n')
('2:02\n', '4\n')
('2:01\n', '4\n')
('1:59\n', '4\n')
