('8:10\n', '1\n')
('8:09\n', '1\n')
('8:08\n', '1\n')
('8:07\n', '1\n')
('8:06\n', '1\n')
('8:05\n', '1\n')
('8:04\n', '1\n')
('8:03\n', '1\n')
('6:21\n', '1\n')
('6:20\n', '1\n')
('6:19\n', '1\n')
('6:18\n', '1\n')
('6:17\n', '1\n')
('1:26\n', '1\n')
('1:25\n', '1\n')
('1:24\n', '1\n')
('1:23\n', '1\n')
('1:22\n', '1\n')
('1:21\n', '1\n')
('1:20\n', '1\n')
('1:41\n', '2\n')
('1:40\n', '2\n')
('1:39\n', '2\n')
('1:38\n', '2\n')
('1:37\n', '2\n')
('1:36\n', '2\n')
('1:35\n', '2\n')
('1:34\n', '2\n')
('1:33\n', '2\n')
('1:32\n', '2\n')
('1:31\n', '2\n')
('1:30\n', '2\n')
('2:53\n', '3\n')
('7:52\n', '3\n')
('27:51\n', '3\n')
('2:50\n', '3\n')
('7:49\n', '3\n')
('7:48\n', '3\n')
('5:53\n', '3\n')
('5:52\n', '3\n')
('5:51\n', '3\n')
('5:50\n', '3\n')
('5:49\n', '3\n')
('5:48\n', '3\n')
('5:47\n', '3\n')
('2:10\n', '3\n')
('2:09\n', '3\n')
('2:08\n', '3\n')
('2:07\n', '3\n')
('2:06\n', '3\n')
('2:05\n', '3\n')
