('7:34\n', 'FIRST QUARTER\n')
('7:33\n', 'FIRST QUARTER\n')
('7:32\n', 'FIRST QUARTER\n')
('7:31\n', 'FIRST QUARTER\n')
('7:30\n', 'FIRST QUARTER\n')
('7:29\n', 'FIRST QUARTER\n')
('7:28\n', 'FIRST QUARTER\n')
('2:26\n', 'FIRST QUARTER\n')
('2:25\n', 'FIRST QUARTER\n')
('2:24\n', 'FIRST QUARTER\n')
('2:23\n', 'FIRST QUARTER\n')
('2:2\n', 'FIRST QUARTER\n')
('2:21\n', 'FIRST QUARTER\n')
('2:21\n', 'FIRST QUARTER\n')
('2:21\n', 'FIRST QUARTER\n')
('1:56\n', 'FIRST QUARTER\n')
('1:55\n', 'FIRST QUARTER\n')
('1:54\n', 'FIRST QUARTER\n')
('1:53\n', 'FIRST QUARTER\n')
('1:52\n', 'FIRST QUARTER\n')
('9:32\n', 'SECOND QUARTER\n')
('9:31\n', 'SECOND QUARTER\n')
('9:30\n', 'SECOND QUARTER\n')
('9:29\n', 'SECOND QUARTER\n')
('9:28\n', 'SECOND QUARTER\n')
('9:27\n', 'SECOND QUARTER\n')
('6:49\n', 'SECOND QUARTER\n')
('6:49\n', 'SECOND QUARTER\n')
('3:44\n', 'SECOND QUARTER\n')
('3:43\n', 'SECOND QUARTER\n')
('3:42\n', 'SECOND QUARTER\n')
('3:41\n', 'SECOND QUARTER\n')
('3:40\n', 'SECOND QUARTER\n')
('3:39\n', 'SECOND QUARTER\n')
('3:38\n', 'SECOND QUARTER\n')
('3:38\n', 'SECOND QUARTER\n')
('3:38\n', 'SECOND QUARTER\n')
('6.3\n', 'SECOND QUARTER\n')
('6.3\n', 'SECOND QUARTER\n')
('6.3\n', 'SECOND QUARTER\n')
('54\n', 'SECOND QUARTER\n')
('45\n', 'SECOND QUARTER\n')
('10:38\n', 'THIRD QUARTER\n')
('10:38\n', 'THIRD QUARTER\n')
('10:37\n', 'THIRD QUARTER\n')
('10:36\n', 'THIRD QUARTER\n')
('10:36\n', 'THIRD QUARTER\n')
('10:36\n', 'THIRD QUARTER\n')
('9:03\n', 'THIRD QUARTER\n')
('9:02\n', 'THIRD QUARTER\n')
('9:01\n', 'THIRD QUARTER\n')
('9:00\n', 'THIRD QUARTER\n')
('8:59\n', 'THIRD QUARTER\n')
('8:58\n', 'THIRD QUARTER\n')
('3:25\n', 'THIRD QUARTER\n')
