('6:07\n', 'FIRST QUARTER\n')
('6:06\n', 'FIRST QUARTER\n')
('6:05\n', 'FIRST QUARTER\n')
('6:04\n', 'FIRST QUARTER\n')
('6:03\n', 'FIRST QUARTER\n')
('6:02\n', 'FIRST QUARTER\n')
('6:01\n', 'FIRST QUARTER\n')
('1:16\n', 'FIRST QUARTER\n')
('1:15\n', 'FIRST QUARTER\n')
('1:14\n', 'FIRST QUARTER\n')
('1:13\n', 'FIRST QUARTER\n')
('1:12\n', 'FIRST QUARTER\n')
('1:11\n', 'FIRST QUARTER\n')
('1:10\n', 'FIRST QUARTER\n')
('5:41\n', 'SECOND QUARTER\n')
('5:40\n', 'SECOND QUARTER\n')
('5:39\n', 'SECOND QUARTER\n')
('5:38\n', 'SECOND QUARTER\n')
('5:37\n', 'SECOND QUARTER\n')
('5:36\n', 'SECOND QUARTER\n')
('5:35\n', 'SECOND QUARTER\n')
('2:21\n', 'SECOND QUARTER\n')
('2:20\n', 'SECOND QUARTER\n')
('2:19\n', 'SECOND QUARTER\n')
('2:18\n', 'SECOND QUARTER\n')
('2:17\n', 'SECOND QUARTER\n')
('2:16\n', 'SECOND QUARTER\n')
('2:15\n', 'SECOND QUARTER\n')
('25.0\n', 'SECOND QUARTER\n')
('24.0\n', 'SECOND QUARTER\n')
('23.0\n', 'SECOND QUARTER\n')
('2.0\n', 'SECOND QUARTER\n')
('21.0\n', 'SECOND QUARTER\n')
('5:08\n', 'THIRD QUARTER\n')
('5:07\n', 'THIRD QUARTER\n')
('5:06\n', 'THIRD QUARTER\n')
('5:05\n', 'THIRD QUARTER\n')
('5:04\n', 'THIRD QUARTER\n')
('4.35\n', 'THIRD QUARTER\n')
('4.34\n', 'THIRD QUARTER\n')
('4:33\n', 'THIRD QUARTER\n')
('4:32\n', 'THIRD QUARTER\n')
('4:31\n', 'THIRD QUARTER\n')
('4:30\n', 'THIRD QUARTER\n')
('4:29\n', 'THIRD QUARTER\n')
('4:28\n', 'THIRD QUARTER\n')
('2:47\n', 'THIRD QUARTER\n')
('2:46\n', 'THIRD QUARTER\n')
('2:45\n', 'THIRD QUARTER\n')
('2:44\n', 'THIRD QUARTER\n')
('2:43\n', 'THIRD QUARTER\n')
('2:42\n', 'THIRD QUARTER\n')
('2:41\n', 'THIRD QUARTER\n')
('1:32\n', 'THIRD QUARTER\n')
('1:31\n', 'THIRD QUARTER\n')
('1:30\n', 'THIRD QUARTER\n')
('1:29\n', 'THIRD QUARTER\n')
('1:28\n', 'THIRD QUARTER\n')
('1:27\n', 'THIRD QUARTER\n')
('1:26\n', 'THIRD QUARTER\n')
('9:43\n', 'FOURTH QUARTER\n')
('9:42\n', 'FOURTH QUARTER\n')
('9:41\n', 'FOURTH QUARTER\n')
('9:40\n', 'FOURTH QUARTER\n')
('9:39\n', 'FOURTH QUARTER\n')
('9:38\n', 'FOURTH QUARTER\n')
('8:38\n', 'FOURTH QUARTER\n')
('8:33\n', 'FOURTH QUARTER\n')
('8:32\n', 'FOURTH QUARTER\n')
('8:31\n', 'FOURTH QUARTER\n')
('8:30\n', 'FOURTH QUARTER\n')
('8:29\n', 'FOURTH QUARTER\n')
('8:28\n', 'FOURTH QUARTER\n')
('6:47\n', 'FOURTH QUARTER\n')
('6:46\n', 'FOURTH QUARTER\n')
('6:45\n', 'FOURTH QUARTER\n')
('6:44\n', 'FOURTH QUARTER\n')
('6:43\n', 'FOURTH QUARTER\n')
('6:42\n', 'FOURTH QUARTER\n')
('6:41\n', 'FOURTH QUARTER\n')
('6:41\n', 'FOURTH QUARTER\n')
('6:41\n', 'FOURTH QUARTER\n')
('6:40\n', 'FOURTH QUARTER\n')
('6:39\n', 'FOURTH QUARTER\n')
('6:38\n', 'FOURTH QUARTER\n')
('6:37\n', 'FOURTH QUARTER\n')
('6:36\n', 'FOURTH QUARTER\n')
('5:35\n', 'FOURTH QUARTER\n')
('5:34\n', 'FOURTH QUARTER\n')
('5:33\n', 'FOURTH QUARTER\n')
('5:32\n', 'FOURTH QUARTER\n')
('5:31\n', 'FOURTH QUARTER\n')
('5:30\n', 'FOURTH QUARTER\n')
('5:30\n', 'FOURTH QUARTER\n')
('5:30\n', 'FOURTH QUARTER\n')
('5:30\n', 'FOURTH QUARTER\n')
('5:30\n', 'FOURTH QUARTER\n')
('5:30\n', 'FOURTH QUARTER\n')
