('9:34\n', '1\n')
('9.33\n', '1\n')
('9:32\n', '1\n')
('9:31\n', '1\n')
('9:30\n', '1\n')
('9:29\n', '1\n')
('9.28\n', '1\n')
('9:27\n', '1\n')
('9:26\n', '1\n')
('4.02\n', '1\n')
('4.01\n', '1\n')
('4:00\n', '1\n')
('3:59\n', '1\n')
('3:58\n', '1\n')
('3.57\n', '1\n')
('3:56\n', '1\n')
('9:43\n', '2\n')
('9:42\n', '2\n')
('9:41\n', '2\n')
('9:40\n', '2\n')
('9:39\n', '2\n')
('9:38\n', '2\n')
('27\n.\n', '2\n')
('7:27\n', '2\n')
('7:26\n', '2\n')
('7:25\n', '2\n')
('7:24\n', '2\n')
('7:23\n', '2\n')
('7:22\n', '2\n')
('12\n', '2\n')
('4:24\n', '2\n')
('4:23\n', '2\n')
('4:22\n', '2\n')
('4:21\n', '2\n')
('4:20\n', '2\n')
('4:19\n', '2\n')
('4:18\n', '2\n')
('1:30\n', '3\n')
('1:29\n', '3\n')
('1:28\n', '3\n')
('1:27\n', '3\n')
('1:26\n', '3\n')
('1:25\n', '3\n')
('1:24\n', '3\n')
('1:23\n', '3\n')
('1:22\n', '3\n')
('1:21\n', '3\n')
('1:20\n', '3\n')
('1:19\n', '3\n')
('10:0\n', '4\n')
('9:59\n', '4\n')
('9:58\n', '4\n')
('9.57\n', '4\n')
('9:56\n', '4\n')
('9.55\n', '4\n')
('9:54\n', '4\n')
('9.53\n', '4\n')
('9.52\n', '4\n')
('9:51\n', '4\n')
('6:41\n', '4\n')
('6:40\n', '4\n')
('6:39\n', '4\n')
('6:38\n', '4\n')
('6:37\n', '4\n')
('6:36\n', '4\n')
('6:35\n', '4\n')
('6:34\n', '4\n')
('5:14\n', '4\n')
('5:13\n', '4\n')
('5:12\n', '4\n')
('5:11\n', '4\n')
('5:10\n', '4\n')
('5:09\n', '4\n')
('5:09\n', '4\n')
('5:09\n', '4\n')
('5:09\n', '4\n')
('5:09\n', '4\n')
('5:09\n', '4\n')
('1:51\n', '4\n')
('1:50\n', '4\n')
('1:49\n', '4\n')
('1:48\n', '4\n')
('1:48\n', '4\n')
('1:48\n', '4\n')
('1:48\n', '4\n')
('1:48\n', '4\n')
('1:48\n', '4\n')
(':38.3\n', '4\n')
(':373\n', '4\n')
(':36.3\n', '4\n')
(':35.4\n', '4\n')
('34.4\n', '4\n')
('34.4\n', '4\n')
('34.4\n', '4\n')
('34.4\n', '4\n')
('34.4\n', '4\n')
('344\n', '4\n')
('34.4\n', '4\n')
