('5:14\n', '1\n')
('5:13\n', '1\n')
('5:12\n', '1\n')
('5:11\n', '1\n')
('510\n', '1\n')
('5:09\n', '1\n')
('5:08\n', '1\n')
('5:07\n', '1\n')
('4:46\n', '1\n')
('4:45\n', '1\n')
('4.44\n', '1\n')
('4:43\n', '1\n')
('4:43\n', '1\n')
('4:42\n', '1\n')
('3:29\n', '1\n')
('3:28\n', '1\n')
('3:27\n', '1\n')
('3:26\n', '1\n')
('3:25\n', '1\n')
('7:26\n', '2\n')
('7:25\n', '2\n')
('7:24\n', '2\n')
('7:23\n', '2\n')
('7:22\n', '2\n')
('7:21\n', '2\n')
('7:18\n', '2\n')
('7:18\n', '2\n')
('5:36\n', '2\n')
('5:35\n', '2\n')
('5:34\n', '2\n')
('5:33\n', '2\n')
('5:32\n', '2\n')
('5:31\n', '2\n')
('5:30\n', '2\n')
('4:45\n', '2\n')
('4:44\n', '2\n')
('4:43\n', '2\n')
('4:42\n', '2\n')
('4:41\n', '2\n')
('4:40\n', '2\n')
('4:39\n', '2\n')
('4.35\n', '2\n')
('4:34\n', '2\n')
('2:28\n', '2\n')
('2:27\n', '2\n')
('2:26\n', '2\n')
('2:25\n', '2\n')
('2:24\n', '2\n')
('2:23\n', '2\n')
('2:22\n', '2\n')
('2:21\n', '2\n')
('10:44\n', '3\n')
('10:43\n', '3\n')
('10:42\n', '3\n')
('10:41\n', '3\n')
('10:40\n', '3\n')
('10:39\n', '3\n')
('10:36\n', '3\n')
('10:35\n', '3\n')
('7:56\n', '3\n')
('7:55\n', '3\n')
('7:54\n', '3\n')
('7:53\n', '3\n')
('7:52\n', '3\n')
('7:51\n', '3\n')
('7:50\n', '3\n')
('5:53\n', '3\n')
('5:52\n', '3\n')
('5:51\n', '3\n')
('5:50\n', '3\n')
('5:49\n', '3\n')
('5:48\n', '3\n')
('5:47\n', '3\n')
('5:44\n', '3\n')
('5:43\n', '3\n')
('5:00\n', '3\n')
('4.59\n', '3\n')
('4.58\n', '3\n')
('4:58\n', '3\n')
('4.57\n', '3\n')
('4:56\n', '3\n')
('4.50\n', '3\n')
('3:54\n', '3\n')
('3:53\n', '3\n')
('3:52\n', '3\n')
('3:51\n', '3\n')
('3:50\n', '3\n')
('3:49\n', '3\n')
('3:48\n', '3\n')
('3:47\n', '3\n')
('1:36\n', '3\n')
('1:35\n', '3\n')
('1:34\n', '3\n')
('1:33\n', '3\n')
('1:32\n', '3\n')
('1:31\n', '3\n')
('1:20\n', '3\n')
('1:29\n', '3\n')
('1:28\n', '3\n')
