('8:04\n', '1\n')
('8:03\n', '1\n')
('8:02\n', '1\n')
('8:01\n', '11\n')
('8:01\n', '1\n')
('8:00\n', '1\n')
('5:39\n', '1\n')
('5:38\n', '11\n')
('5:37\n', '1\n')
('5:36\n', '1\n')
('5:35\n', '1\n')
('5:34\n', '11\n')
('5:33\n', '1\n')
('5:30\n', '11\n')
('5:29\n', '11\n')
('3:21\n', '11\n')
('3:20\n', '1\n')
('3:19\n', '1\n')
('3:18\n', '1\n')
('3:18\n', '1\n')
('3:18\n', '1\n')
('3:18\n', '11\n')
('3:18\n', '11\n')
('7:51\n', '2\n')
('7:50\n', '2\n')
('7:49\n', '2\n')
('7:48\n', '2\n')
('7:48\n', '2\n')
('7:48\n', '2\n')
('7:48\n', '2\n')
('7:48\n', '2\n')
('2:53\n', '2\n')
('2:52\n', '2\n')
('2:51\n', '2\n')
('2:50\n', '2\n')
('2:49\n', '2\n')
('2:48\n', '2\n')
('8:42\n', '3\n')
('8:41\n', '3\n')
('8:40\n', '3\n')
('8:39\n', '3\n')
('8:38\n', '3\n')
('8:37\n', '3\n')
('8:36\n', '3\n')
('8:35\n', '3\n')
('3:35\n', '3\n')
('3:34\n', '3\n')
('3:33\n', '3\n')
('3:32\n', '3\n')
('3:31\n', '3\n')
('3:30\n', '3\n')
('3:29\n', '3\n')
('3:28\n', '3\n')
('11:20\n', '4\n')
('11:18\n', '4\n')
('11:17\n', '4\n')
('11:14\n', '4\n')
('8:46\n', '4\n')
('8:43\n', '4\n')
('6\n', '4\n')
('3:59\n', '4\n')
('3:57\n', '4\n')
('3:56\n', '4\n')
('3:55\n', '4\n')
('3:54\n', '4\n')
('2:54\n', '4\n')
('2:53\n', '4\n')
('2:52\n', '4\n')
('2:51\n', '4\n')
('2:50\n', '4\n')
('2:47\n', '4\n')
('4.3\n', '4\n')
('2.3\n', '4\n')
('1.3\n', '4\n')
('0.3\n', '4\n')
('0.0\n', '4\n')
('0.0\n', '4\n')
