('4\n', '4\n')
('8:11\n', '11\n')
('8:10\n', '11\n')
('8:09\n', '11\n')
('8:08\n', '11\n')
('8:07\n', '11\n')
('8:06\n', '11\n')
('8:05\n', '11\n')
('1:25\n', '11\n')
('1:25\n', '11\n')
('1:23\n', '11\n')
('1:23\n', '11\n')
('1:22\n', '11\n')
('1:21\n', '11\n')
('1:20\n', '11\n')
('35.2\n', '11\n')
('34.2\n', '11\n')
('33.3\n', '11\n')
('32.3\n', '1\n')
('31.3\n', '11\n')
('30.8\n', '1\n')
('30.8\n', '131\n')
('547\n', '2\n')
('5:46\n', '2\n')
('5:45\n', '2\n')
('5:44\n', '2\n')
('5:43\n', '2\n')
('5:42\n', '2\n')
('4:56\n', '2\n')
('4:55\n', '2\n')
('4:54\n', '2\n')
('4:53\n', '2\n')
('4:53\n', '2\n')
('4:52\n', '2\n')
('4:51\n', '2\n')
('4:45\n', '2\n')
('24.7\n', '2\n')
('23.7\n', '2\n')
('22.7\n', '2\n')
('21.7\n', '2\n')
('20.7\n', '2\n')
('19.9\n', '2\n')
('10:54\n', '3\n')
('10:53\n', '3\n')
('10:52\n', '3\n')
('10:51\n', '3\n')
('10:50\n', '3\n')
('10:49\n', '3\n')
('10:48\n', '3\n')
('10:45\n', '3\n')
('10:44\n', '3\n')
('5:09\n', '3\n')
('5:08\n', '3\n')
('5:07\n', '3\n')
('5:06\n', '3\n')
('5:05\n', '3\n')
('5:04\n', '3\n')
('4:57\n', '3\n')
('1:11\n', '3\n')
('1:10\n', '3\n')
('1:09\n', '3\n')
('1:08\n', '3\n')
('1:07\n', '3\n')
('1:06\n', '3\n')
('7:12\n', '4\n')
('7:11\n', '4\n')
('7:10\n', '4\n')
('7:09\n', '414\n')
('7:08\n', '4\n')
('7:07\n', '414\n')
('7:06\n', '4\n')
('7:05\n', '4\n')
('7:01\n', '4\n')
('7:00\n', '4\n')
('46.0\n', '41\n')
('45.1\n', '41\n')
('44.1\n', '41\n')
('43.1\n', '4\n')
('42.1\n', '4\n')
('41.4\n', '4\n')
('18.3\n', '4\n')
('17.3\n', '4\n')
('16.3\n', '41\n')
('15.3\n', '4\n')
('14.3\n', '41\n')
('13.4\n', '41\n')
('12.4\n', '41\n')
('12.1\n', '4\n')
('12.1\n', '4\n')
('12.1\n', '41\n')
('12.1\n', '4\n')
('06.5\n', '41\n')
('05.5\n', '41\n')
('04.6\n', '41\n')
('03.6\n', '41\n')
('02.6\n', '4\n')
('01.6\n', '4\n')
('00.0\n', '41\n')
('00.0\n', '41\n')
