('8:31\n', '1\n')
('8:30\n', '1\n')
('8:29\n', '1\n')
('8:28\n', '1\n')
('8:27\n', '1\n')
('2:47\n', '1\n')
('2:46\n', '1\n')
('2:45\n', '1\n')
('2:44\n', '1\n')
('2:43\n', '1\n')
('2:42\n', '1\n')
('1:14\n', '1\n')
('1:13\n', '1\n')
('1:13\n', '1\n')
('1:12\n', '1\n')
('1:11\n', '1\n')
('11:17\n', '2\n')
('11:16\n', '2\n')
('11:15\n', '2\n')
('11:14\n', '2\n')
('11:14\n', '2\n')
('4:51\n', '2\n')
('4:50\n', '2\n')
('4:49\n', '2\n')
('4:48\n', '2\n')
('4:47\n', '2\n')
('4:46\n', '2\n')
('4:07\n', '2\n')
('4:07\n', '2\n')
('2:45\n', '2\n')
('2:44\n', '2\n')
('2:43\n', '2\n')
('2:42\n', '2\n')
('2:41\n', '2\n')
('2:40\n', '2\n')
('2:39\n', '2\n')
('8:52\n', '3\n')
('8:51\n', '3\n')
('8:49\n', '3\n')
('8:48\n', '3\n')
('7:07\n', '3\n')
('7:06\n', '3\n')
('7:05\n', '3\n')
('7:04\n', '3\n')
('7:03\n', '3\n')
('7:02\n', '3\n')
('3:16\n', '3\n')
('3:15\n', '3\n')
('3:14\n', '3\n')
('3:13\n', '3\n')
('3:12\n', '3\n')
('2:19\n', '3\n')
('2:26\n', '3\n')
(':45.4\n', '3\n')
(':44.4\n', '3\n')
(':43.5\n', '3\n')
(':42.5\n', '3\n')
(':41.5\n', '3\n')
(':40.5\n', '3\n')
(':39.9\n', '3\n')
(':39.3\n', '3\n')
(':38.4\n', '3\n')
('7:42\n', '4\n')
('7:41\n', '4\n')
('7:40\n', '4\n')
('7:39\n', '4\n')
('7:38\n', '4\n')
('7:37\n', '4\n')
('7:03\n', '4\n')
('7:02\n', '4\n')
('7:01\n', '4\n')
('7:00\n', '4\n')
('6:59\n', '4\n')
('6:58\n', '4\n')
('3:47\n', '4\n')
('3:46\n', '4\n')
('3:45\n', '4\n')
('3:44\n', '4\n')
('3:43\n', '4\n')
('3:42\n', '4\n')
